,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.7773748613,2.171115657279817,10.05150948142689
1/24/20,0.0,0.0,0.0,99999.53570309373,2.3568709349420036,10.107425971330377
1/25/20,0.0,0.0,0.0,99999.27326626047,2.5585866031982194,10.168147136338856
1/26/20,0.0,0.0,0.0,99998.98832706962,2.7775979487486033,10.234074981633144
1/27/20,0.0,0.0,0.0,99998.6791006216,3.0152768834121284,10.305622494991745
1/28/20,0.0,0.0,0.0,99998.34356307203,3.273178952516464,10.38325797544358
1/29/20,0.0,0.0,0.0,99997.97945155707,3.553043392343021,10.467505050592148
1/30/20,0.0,0.0,0.0,99997.58426419325,3.8567931301269516,10.558942676615528
1/31/20,0.0,0.0,0.0,99997.15526007768,4.186534784057152,10.658205138266371
2/1/20,0.0,0.0,0.0,99996.68945928785,4.5445586632762565,10.765982048871905
2/2/20,0.0,0.0,0.0,99996.18364288179,4.933338767880644,10.88301835033394
2/3/20,0.0,0.0,0.0,99995.63435289795,5.355532788920437,11.010114313128858
2/4/20,0.0,0.0,0.0,99995.03789235529,5.813982108399495,11.148125536307617
2/5/20,0.0,0.0,0.0,99994.39032525323,6.311711799275422,11.29796294749576
2/6/20,0.0,0.0,0.0,99993.68747657165,6.851930625459564,11.460592802893398
2/7/20,0.0,0.0,0.0,99992.92448196566,7.438376690869288,11.63714134347151
2/8/20,0.0,0.0,0.0,99992.09549563736,8.075541850649307,11.828962511988395
2/9/20,0.0,0.0,0.0,99991.19581157646,8.767043668139817,12.037144755401638
2/10/20,0.0,0.0,0.0,99990.22002508857,9.517036527715971,12.262938383723275
2/11/20,0.0,0.0,0.0,99989.16189379524,10.330318324894638,12.507787879864386
2/12/20,0.0,0.0,0.0,99988.01433763403,11.212330466334393,12.773331899635098
2/13/20,0.0,0.0,0.0,99986.76943885842,12.16915786983552,13.061403271744584
2/14/20,0.0,0.0,0.0,99985.41844203786,13.207528964340016,13.374028997801064
2/15/20,0.0,0.0,0.0,99983.95175405777,14.33481568993159,13.7134302523118
