,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.79138627855,2.1801960330245747,10.028417688438196
1/24/20,0.0,0.0,0.0,99999.563977506,2.3766267582467435,10.059395735755622
1/25/20,0.0,0.0,0.0,99999.31599073324,2.590832212574893,10.093177054175618
1/26/20,0.0,0.0,0.0,99999.04562375417,2.824369081262641,10.130007164570245
1/27/20,0.0,0.0,0.0,99998.75099818777,3.078859862639393,10.170141949591416
1/28/20,0.0,0.0,0.0,99998.42997422339,3.3561528574079964,10.213872919206342
1/29/20,0.0,0.0,0.0,99998.08015061835,3.6583221706394378,10.261527211012568
1/30/20,0.0,0.0,0.0,99997.69886469799,3.987667711772841,10.31346759023798
1/31/20,0.0,0.0,0.0,99997.28319235564,4.3467151946154665,10.370092449740802
2/1/20,0.0,0.0,0.0,99996.82994805265,4.738216137342714,10.431835810009598
2/2/20,0.0,0.0,0.0,99996.33568481833,5.165147862498117,10.499167319163263
2/3/20,0.0,0.0,0.0,99995.79669425005,5.630713496993351,10.572592252951036
2/4/20,0.0,0.0,0.0,99995.20900651313,6.138341972108227,10.652651514752492
2/5/20,0.0,0.0,0.0,99994.56839034094,6.691688023490695,10.739921635577542
2/6/20,0.0,0.0,0.0,99993.87025734445,7.2947147929317,10.83502786261936
2/7/20,0.0,0.0,0.0,99993.10853891239,7.952663360802534,10.938797726815016
2/8/20,0.0,0.0,0.0,99992.27813581946,8.669938337489292,11.051925843045169
2/9/20,0.0,0.0,0.0,99991.37366136909,9.451192798985314,11.175145831926399
2/10/20,0.0,0.0,0.0,99990.38880920508,10.30187399663427,11.309316798293315
2/11/20,0.0,0.0,0.0,99989.31635331167,11.228223357130153,11.455423331198542
2/12/20,0.0,0.0,0.0,99988.14814801357,12.237276482517274,11.614575503912722
2/13/20,0.0,0.0,0.0,99986.87512797589,13.336863150190268,11.78800887392452
2/14/20,0.0,0.0,0.0,99985.48730820417,14.535607312894097,11.977084482940619
2/15/20,0.0,0.0,0.0,99983.9737840444,15.842927098724045,12.183288856885722
2/16/20,0.0,0.0,0.0,99982.32273118297,17.26903481112572,12.408234005902553
2/17/20,0.0,0.0,0.0,99980.52140564675,18.824936928895045,12.653657424351852
2/18/20,0.0,0.0,0.0,99978.55614380301,20.522434106178277,12.921422090812381
2/19/20,0.0,0.0,0.0,99976.41236235945,22.374121172471995,13.21351646808092
2/20/20,0.0,0.0,0.0,99974.07455836421,24.393387132623086,13.532054503172272
2/21/20,0.0,0.0,0.0,99971.52630920586,26.59441516682878,13.879275627319258
2/22/20,0.0,0.0,0.0,99968.7502726134,28.99218263063663,14.257544755972715
2/23/20,0.0,0.0,0.0,99965.72520124048,31.605032949364155,14.669765810152981
2/24/20,0.0,0.0,0.0,99962.42393742205,34.456406532566405,15.119656045381136
2/25/20,0.0,0.0,0.0,99958.82677670145,37.563330507888836,15.609892790667677
2/26/20,0.0,0.0,0.0,99954.91069725141,40.94569504160525,16.1436077069731
2/27/20,0.0,0.0,0.0,99950.6485942162,44.62691284218212,16.724492941623602
2/28/20,0.0,0.0,0.0,99946.0092797114,48.633919160278694,17.356801128311087
2/29/20,0.0,0.0,0.0,99940.95748282416,52.9971717887469,18.04534538709315
3/1/20,0.0,0.0,0.0,99935.45384961297,57.75065106263139,18.79549932439309
3/2/20,2.0,0.0,0.0,99929.45494310783,62.931859859169556,19.61319703299991
3/3/20,2.0,0.0,0.0,99922.91324331013,68.58182359779148,20.504933092068303
3/4/20,5.0,0.0,0.0,99915.77714719276,74.74509024012002,21.477762567118674
3/5/20,8.0,0.0,0.0,99907.99096869999,81.46973028997064,22.53930101003712
3/6/20,13.0,0.0,0.0,99899.49493874756,88.80733679335165,23.697724459075438
3/7/20,20.0,0.0,0.0,99890.22520522268,96.81302533846403,24.961769438851128
3/8/20,30.0,0.0,0.0,99880.11383298395,105.54543405570146,26.340732960347395
3/9/20,30.0,0.0,0.0,99869.08880386144,115.06672361765035,27.84447252091314
3/10/20,41.0,0.0,0.0,99857.07401665664,125.44257723908981,29.48340610426295
3/11/20,59.0,0.0,0.0,99843.98928714253,136.74220067699173,31.268512180477135
3/12/20,59.0,0.0,0.0,99829.74311496833,149.04448608286103,33.212398948807
3/13/20,111.0,1.0,0.0,99814.20358089735,162.46288881287896,35.33353028977562
3/14/20,167.0,2.0,0.0,99797.27275063736,177.0821079657058,37.645141396920465
3/15/20,243.0,2.0,0.0,99778.84358540698,192.99472636722837,40.161688225786676
3/16/20,328.0,3.0,0.0,99758.7904212839,210.3093159615807,42.9002627545047
3/17/20,444.0,3.0,1.0,99736.96896920506,229.15043781114449,45.880592983790315
3/18/20,443.0,3.0,2.0,99713.2163149665,249.65864209654868,49.125042936944595
3/19/20,779.0,3.0,3.0,99687.35091922346,271.9904681166697,52.65861265985396
3/20/20,1009.0,5.0,6.0,99659.17261749037,296.31844428863144,56.50893822099013
3/21/20,1263.0,5.0,12.0,99628.46262014078,322.8310881478051,60.70629171141012
3/22/20,1581.0,5.0,14.0,99594.98351240743,351.7329063478095,65.2835812447563
3/23/20,2032.0,5.0,23.0,99558.47925438223,383.2443946605106,70.27635095725637
3/24/20,2307.0,22.0,33.0,99518.67518101625,417.6020379760222,75.7227810077233
3/25/20,2930.0,22.0,43.0,99475.27800211974,455.05831030270497,81.66368757755536
3/26/20,3441.0,43.0,60.0,99427.9758023621,495.88167476716757,88.14252287073623
3/27/20,4149.0,43.0,76.0,99376.43804127189,540.3565836142656,95.20537511383485
3/28/20,5027.0,43.0,100.0,99320.31555323688,588.7834782071025,102.90096855600544
3/29/20,5800.0,43.0,119.0,99259.24054750397,641.4787890270288,111.28066346898763
3/30/20,6225.0,43.0,140.0,99192.82627303696,698.7751885805814,120.39853838245092
3/31/20,7240.0,43.0,160.0,99120.58096794452,761.0881808573475,130.33085119811645
4/1/20,8021.0,43.0,187.0,99041.98792327668,828.8609533647467,141.15112335856142
4/2/20,8757.0,68.0,209.0,98956.53136877979,902.5421175200603,152.92651370013215
4/3/20,9572.0,68.0,246.0,98863.62966349625,982.6350893369702,165.73524716676678
4/4/20,10183.0,75.0,266.0,98762.63529576443,1069.698089425559,179.66661480999545
4/5/20,10908.0,75.0,295.0,98652.83488321873,1164.3441429923096,194.82097378894002
4/6/20,11279.0,140.0,311.0,98533.44917278957,1267.2410798401052,211.30974737031437
4/7/20,11913.0,184.0,345.0,98403.63304070334,1379.11153436823,229.25542492842425
4/8/20,12565.0,196.0,380.0,98262.47549248245,1500.7329455723684,248.79156194516716
4/9/20,13342.0,205.0,409.0,98108.99966294535,1632.9375570446048,270.0627800100327
4/10/20,14804.0,233.0,435.0,97942.16281620646,1776.6124169734248,293.22476682010205
4/11/20,15251.0,266.0,470.0,97760.85634567622,1932.699378143715,318.4442761800486
4/12/20,15804.0,277.0,504.0,97563.90577406109,2102.1950979367602,345.8991280021374
4/13/20,16122.0,277.0,535.0,97350.07075336351,2286.151038330249,375.7782083062255
4/14/20,16534.0,347.0,567.0,97118.04506488197,2485.673465898267,408.28146921976173
4/15/20,17109.0,383.0,599.0,96866.4566192109,2701.9234518113026,443.6199289777869
4/16/20,17719.0,493.0,629.0,96593.86745624081,2936.116871836245,482.01567192293356
4/17/20,17846.0,519.0,657.0,96298.77374515818,3189.5244063363816,523.7018485054264
4/18/20,18388.0,610.0,687.0,95979.87806655078,3463.1968852159143,568.9250482332952
4/19/20,18882.0,610.0,714.0,95636.03254222644,3757.994397111229,617.9730606623259
4/20/20,19518.0,610.0,735.0,95264.75104045101,4076.0763025406573,671.1726570083208
4/21/20,19700.0,917.0,762.0,94863.48940060621,4419.63637008372,728.8742293100713
4/22/20,20054.0,1143.0,785.0,94429.73935678508,4790.809136784536,791.4515064303815
4/23/20,20332.0,1201.0,820.0,93961.02853779211,5191.669908151822,859.3015540560691
4/24/20,20715.0,1228.0,854.0,93454.92046714314,5624.234758158893,932.8447746979646
4/25/20,21235.0,1277.0,880.0,92909.01456306543,6090.460529243661,1012.5249076909114
4/26/20,21632.0,1329.0,903.0,92320.94613849759,6592.2448323086355,1098.8090291937663
4/27/20,21742.0,1357.0,928.0,91688.38640108967,7131.426046720926,1192.1875521893987
4/28/20,21985.0,1389.0,948.0,91009.04245320306,7709.783320312243,1293.174226484692
4/29/20,22062.0,1470.0,973.0,90280.65729191057,8329.036569378888,1402.306138710542
4/30/20,22537.0,1519.0,989.0,89501.00980899639,8990.84647868176,1520.143712321857
5/1/20,22697.0,1647.0,1007.0,88667.91479095607,9696.81450144637,1647.27070759756
5/2/20,22496.0,1671.0,1023.0,87779.22291899662,10448.482859362808,1784.294221640585
5/3/20,22550.0,1689.0,1043.0,86832.82076903635,11247.334542585779,1931.844688377881
5/4/20,22749.0,1712.0,1063.0,85826.63081170504,12094.79330973457,2090.575878560409
5/5/20,22885.0,1743.0,1074.0,84758.6114123438,12992.223687893082,2261.1648997631432
5/6/20,23017.0,2076.0,1089.0,83626.79184744287,13940.906093446936,2444.3020591101936
5/7/20,23352.0,2258.0,1105.0,82431.05411211736,14940.71211883212,2640.2337690505174
5/8/20,23732.0,2422.0,1114.0,81170.54782543218,15991.793503511446,2849.658671056381
5/9/20,23781.0,2499.0,1126.0,79843.90257383941,17094.5294442358,3073.56798192478
5/10/20,23897.0,2549.0,1135.0,78450.39365880308,18248.725327969674,3312.8810132272506
5/11/20,23986.0,2549.0,1144.0,76989.94209679897,19453.612731891153,3568.4451713098724
5/12/20,23737.0,3013.0,1163.0,75463.11461931482,20707.84942339192,3841.035957293268
5/13/20,23775.0,3182.0,1175.0,73871.12367285014,22009.519360077265,4131.356967072599
5/14/20,23937.0,3198.0,1184.0,72215.82741891635,23356.132689766077,4440.039891317575
5/15/20,24065.0,3328.0,1190.0,70499.72973403672,24744.62575049084,4767.644515472442
5/16/20,23785.0,3822.0,1203.0,68725.98020974637,26171.361070497638,5114.658719755991
5/17/20,23182.0,4636.0,1218.0,66898.37415259227,27632.127368246165,5481.498479161557
5/18/20,21548.0,6430.0,1231.0,65021.35258413328,29122.1395524097,5868.507863457013
5/19/20,21754.0,6431.0,1247.0,63100.002240940084,30636.038721875135,6275.959037184779
5/20/20,21945.0,6452.0,1263.0,61140.05557459523,32167.89216574295,6704.052259661812
5/21/20,22183.0,6452.0,1277.0,59147.890751693136,33711.19336332724,7152.915884979618
5/22/20,21321.0,7590.0,1289.0,57130.53165384007,35258.86198415568,7622.6063620042405
5/23/20,21464.0,7705.0,1302.0,55095.64787765418,36803.24388796957,8113.108234376264
5/24/20,11758.0,17549.0,1316.0,53051.55473476541,38336.11112472378,8624.334140510819
05/25/20,,,,51007.21325181562,39848.6619345868,9156.124813597578
05/26/20,,,,48972.23017045852,41331.520747940725,9708.249081600756
05/27/20,,,,46956.262751983966,42775.29351825955,10280.443729756482
05/28/20,,,,44962.386047200845,44177.022798230144,10872.591154569001
05/29/20,,,,42995.17741754903,45532.90171023159,11483.920872219369
05/30/20,,,,41060.11491347452,46838.366061527784,12113.519024997691
05/31/20,,,,39162.22883802443,48089.29749096183,12760.473671013737
06/01/20,,,,37306.10174684698,49282.023468956075,13423.874784196936
06/02/20,,,,35495.86844819153,50413.31729751207,14102.814254296385
06/03/20,,,,33735.21600290854,51480.39811021061,14796.385886880842
06/04/20,,,,32027.38372444958,52480.93087221169,15503.685403338728
06/05/20,,,,30375.163178867337,53413.02638025453,16223.810440878127
06/06/20,,,,28780.898184815625,54275.24126265758,16955.86055252679
06/07/20,,,,27246.484813549367,55066.57797931851,17698.937207132123
06/08/20,,,,25773.371388924592,55786.4848217142,18452.143789361202
06/09/20,,,,24362.558487398463,56434.85591290077,19214.585599700767
06/10/20,,,,23014.598938029238,57012.03120751354,19985.369854457218
06/11/20,,,,21729.597822476317,57518.79649176707,20763.605685756615
06/12/20,,,,20507.212475000186,57956.38338345512,21548.40414154469
06/13/20,,,,19346.652482462465,58326.469331950706,22338.878185586833
06/14/20,,,,18246.67968432588,58631.17761820603,23134.142697468094
06/15/20,,,,17205.608172654283,58873.07735475253,23933.314472593192
06/16/20,,,,16221.304292112633,59055.183485700865,24735.512222186502
06/17/20,,,,15291.311895696277,59180.86149093746,25539.826613366247
06/18/20,,,,14413.832940344008,59252.93857869324,26345.228480962738
06/19/20,,,,13586.396167518149,59274.528317194774,27151.075515287066
06/20/20,,,,12806.416191549635,59248.76733583882,27956.816472611532
06/21/20,,,,12071.418211184755,59178.6639703724,28761.91781844283
06/22/20,,,,11379.038009585129,59067.09826289278,29565.86372752207
06/23/20,,,,10727.021954327738,58916.8219618475,30368.15608382475
06/24/20,,,,10113.22699740489,58730.45852203433,31168.314480560766
06/25/20,,,,9535.620675224252,58510.50310460132,31965.87622017442
06/26/20,,,,8992.28110860883,58259.32257704675,32760.396314344416
06/27/20,,,,8481.397002796968,57979.15551321917,33551.44748398385
06/28/20,,,,8001.267647442369,57672.1121933174,34338.62015924023
06/29/20,,,,7550.3029166140695,57340.17460389048,35121.52247949544
06/30/20,,,,7127.023268796451,56985.19643783774,35899.78029336581
07/01/20,,,,6730.0597468892465,56608.903094408735,36673.03715870202
07/02/20,,,,6358.153978207529,56212.891679203305,37440.954342589175
07/03/20,,,,6010.15817448171,55798.631004171526,38203.21082134677
07/04/20,,,,5685.002465478175,55367.493003588505,38959.5045309333
07/05/20,,,,5380.321945076088,54922.038469593994,39709.639585329904
07/06/20,,,,5094.2231237559245,54464.25998782398,40453.51688842008
07/07/20,,,,4825.53578166085,53995.429138985404,41191.03507935373
07/08/20,,,,4573.147782281097,53516.75398149596,41922.09823622293
07/09/20,,,,4336.005072453954,53029.37905148409,42646.61587606194
07/10/20,,,,4113.111682363776,52534.385362789,43364.50295484721
07/11/20,,,,3903.5297255419746,52032.79040696064,44075.679867497376
