,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.79458674435,2.178387094601214,10.027026161050298
1/24/20,0.0,0.0,0.0,99999.5708525619,2.372684573932213,10.056462864159291
1/25/20,0.0,0.0,0.0,99999.32707637096,2.584387044023953,10.088536585021343
1/26/20,0.0,0.0,0.0,99999.0615185396,2.8150052336724896,10.12347622672956
1/27/20,0.0,0.0,0.0,99998.77237104284,3.06610928064359,10.161519676517331
1/28/20,0.0,0.0,0.0,99998.45757607074,3.3394862298106247,10.202937699450091
1/29/20,0.0,0.0,0.0,99998.11482602001,3.6371400404592,10.248033939533608
1/30/20,0.0,0.0,0.0,99997.741563494,3.961291586287156,10.297144919713979
1/31/20,0.0,0.0,0.0,99997.33498130272,4.3143786554045676,10.350640041877645
2/1/20,0.0,0.0,0.0,99996.89202246281,4.6990559503337455,10.408921586851369
2/2/20,0.0,0.0,0.0,99996.40938019758,5.118195088009233,10.472424714402257
2/3/20,0.0,0.0,0.0,99995.88349793699,5.574884599777812,10.541617463237742
2/4/20,0.0,0.0,0.0,99995.31056931759,6.072429931398495,10.617000751005595
2/5/20,0.0,0.0,0.0,99994.68653818266,6.614353443042532,10.699108374293916
2/6/20,0.0,0.0,0.0,99994.00706606789,7.204422628094265,10.78851130401376
2/7/20,0.0,0.0,0.0,99993.2663972566,7.847635158045872,10.885967585366583
2/8/20,0.0,0.0,0.0,99992.45947112112,8.548385727897728,10.992143150987387
2/9/20,0.0,0.0,0.0,99991.58121517103,9.311079620011792,11.107705208961162
2/10/20,0.0,0.0,0.0,99990.62567836199,10.14088489016078,11.233436747856127
2/11/20,0.0,0.0,0.0,99989.58603109575,11.043732367528143,11.37023653672373
2/12/20,0.0,0.0,0.0,99988.45456522019,12.026315654708078,11.51911912509865
2/13/20,0.0,0.0,0.0,99987.2226940293,13.096091127705531,11.68121484299879
2/14/20,0.0,0.0,0.0,99985.88095226315,14.261277935936185,11.857769800925286
2/15/20,0.0,0.0,0.0,99984.41899610791,15.530858002226475,12.0501458898625
2/16/20,0.0,0.0,0.0,99982.82560319592,16.914576022813577,12.259820781278027
2/17/20,0.0,0.0,0.0,99981.08867260553,18.42293946734541,12.488387927122686
2/18/20,0.0,0.0,0.0,99979.1952248613,20.06721857888064,12.737556559830525
2/19/20,0.0,0.0,0.0,99977.1314019338,21.85944637388868,13.009151692318824
2/20/20,0.0,0.0,0.0,99974.88246723976,23.812418642249682,13.30511411798809
2/21/20,0.0,0.0,0.0,99972.43280564203,25.939693947254547,13.627500410722059
2/22/20,0.0,0.0,0.0,99969.76592344951,28.25559362560491,13.978482924887693
2/23/20,0.0,0.0,0.0,99966.86344028925,30.77607501470987,14.360484696038295
2/24/20,0.0,0.0,0.0,99963.69850971103,33.524432437636406,14.777057851338988
2/25/20,0.0,0.0,0.0,99960.25130223754,36.51788924651452,15.230808515945434
2/26/20,0.0,0.0,0.0,99956.50081085955,39.77469386475795,15.7244952756984
2/27/20,0.0,0.0,0.0,99952.4221259938,43.31647989523909,16.261394110952068
2/28/20,0.0,0.0,0.0,99947.98643548314,47.16826612028903,16.84529839657403
2/29/20,1.0,0.0,0.0,99943.16102459635,51.35845650169753,17.480518901945295
3/1/20,3.0,0.0,0.0,99937.90927602832,55.918840180713026,18.171883790960287
3/2/20,3.0,0.0,0.0,99932.19066989994,60.88459147804264,18.92473862202684
3/3/20,7.0,0.0,0.0,99925.96078375808,66.29426989385215,19.7449463480662
3/4/20,8.0,0.0,0.0,99919.17129257572,72.18982010776602,20.638887316513035
3/5/20,8.0,0.0,0.0,99911.76996875182,78.6165719788674,21.61345926931542
3/6/20,8.0,0.0,0.0,99903.70068211136,85.6232405456981,22.67607734293484
3/7/20,8.0,0.0,0.0,99894.9033999054,93.26192602625864,23.834674068346203
3/8/20,15.0,0.0,0.0,99885.31418681095,101.58811381800817,25.097699371037834
3/9/20,18.0,0.0,0.0,99874.86520493112,110.66067449786453,26.474120571011447
3/10/20,24.0,0.0,0.0,99863.48471379501,120.54186382220428,27.973422382782203
3/11/20,262.0,0.0,0.0,99851.09707035776,131.29732272686263,29.60560691537865
3/12/20,262.0,0.0,0.0,99837.62272763692,142.99607849556517,31.381193867522708
3/13/20,320.0,0.0,0.0,99822.94786800031,155.7365939774898,33.315538022196414
3/14/20,333.0,4.0,0.0,99806.96039383761,169.61603887777167,35.42356728461755
3/15/20,397.0,4.0,0.0,99789.56578408895,184.71665965017203,37.71755626088739
3/16/20,435.0,4.0,0.0,99770.65168448616,201.1360987063016,40.21221680753712
3/17/20,435.0,4.0,0.0,99750.08790755285,218.98739441562046,42.9246980315278
3/18/20,448.0,4.0,0.0,99727.72643260431,238.3989811054383,45.874586290250384
3/19/20,456.0,4.0,0.0,99703.40140574756,259.5146890609142,49.083905191525744
3/20/20,460.0,10.0,0.0,99676.92913988134,282.4937445250565,52.57711559360461
3/21/20,454.0,27.0,0.0,99648.10811469611,307.5107696987234,56.38111560516763
3/22/20,461.0,33.0,0.0,99616.71897667405,334.75578274062195,60.52524058532534
3/23/20,468.0,33.0,0.0,99582.52453908908,364.43419776730934,65.04126314361818
3/24/20,485.0,41.0,0.0,99545.2697820068,396.7668248531917,69.96339314001648
3/25/20,496.0,41.0,0.0,99504.68185228456,431.9898700305248,75.32827768492041
3/26/20,506.0,43.0,0.0,99460.47006357143,470.3549352894138,81.17500113916014
3/27/20,519.0,43.0,0.0,99412.32589630819,512.1290185778133,87.54508511399564
3/28/20,544.0,45.0,1.0,99359.92299772735,557.5945138015275,94.48248847111682
3/29/20,585.0,48.0,1.0,99302.91718185315,607.0492108242099,102.03360732264349
3/30/20,641.0,51.0,1.0,99240.9464295015,660.8062954673633,110.2472750311253
3/31/20,717.0,62.0,2.0,99173.61918270466,719.2033576730155,119.17745962231322
4/1/20,762.0,71.0,2.0,99100.42184369871,782.6763231459137,128.90183315535813
4/2/20,874.0,72.0,3.0,99020.872114497,851.6451557180562,139.4827297849334
4/3/20,979.0,93.0,3.0,98934.45153120537,926.5624074256415,150.98606136898033
4/4/20,1213.0,109.0,3.0,98840.57832299233,1007.9336746514605,163.48800235621147
4/5/20,1477.0,123.0,4.0,98738.60741208898,1096.3175981248967,177.07498978611054
4/6/20,1697.0,131.0,4.0,98627.83041378914,1192.325862921926,191.8437232889326
4/7/20,1901.0,150.0,6.0,98507.47563644918,1296.6231984651172,207.9011650857039
4/8/20,2026.0,178.0,6.0,98376.70808148813,1409.927378523632,225.3645399882219
4/9/20,2164.0,206.0,6.0,98234.62944338772,1533.009221213223,244.36133539905538
4/10/20,2279.0,227.0,6.0,98080.27810969221,1666.692588996238,265.02930131154426
4/11/20,2475.0,247.0,6.0,97912.62916100858,1811.854388681616,287.5164503097999
4/12/20,2697.0,275.0,7.0,97730.5943710064,1969.4245714248877,311.9810575687045
4/13/20,2890.0,334.0,7.0,97533.0222064179,2140.3861327281784,338.591660853912
4/14/20,3048.0,373.0,7.0,97318.69782703795,2325.775112440204,367.52706052184715
4/15/20,3298.0,406.0,7.0,97086.34308572402,2526.6805947562743,398.97631951970635
4/16/20,3681.0,415.0,7.0,96834.61652839625,2744.244708218291,433.13876338545674
4/17/20,4192.0,464.0,7.0,96562.11339403741,2979.6626257147495,470.2239802478372
4/18/20,4490.0,510.0,8.0,96267.3656146929,3234.182564480737,510.45182082635745
4/19/20,4922.0,518.0,8.0,95949.21237375068,3508.7310110045964,554.0566152447162
4/20/20,5451.0,555.0,9.0,95606.37377464761,3804.31150640769,601.3147189446925
4/21/20,5910.0,614.0,9.0,95236.3855496683,4123.0797244898395,652.5347258418603
4/22/20,6442.0,689.0,10.0,94836.78276916494,4467.170122255906,708.0471085791476
4/23/20,7004.0,750.0,10.0,94405.13371217012,4838.662099234488,768.2041885953874
4/24/20,7706.0,809.0,10.0,93939.03986639676,5239.57999747792,833.380136125319
4/25/20,8419.0,929.0,10.0,93436.13592823813,5671.8931015622775,903.9709701995876
4/26/20,9265.0,1012.0,10.0,92894.08980276789,6137.515638587368,980.3945586447435
4/27/20,10168.0,1066.0,10.0,92310.60260374002,6638.306778176741,1063.0906180832435
4/28/20,10777.0,1134.0,10.0,91683.40865358888,7176.07063247768,1152.5207139334495
4/29/20,11311.0,1243.0,10.0,91010.27548342917,7752.556256161208,1249.1682604096295
4/30/20,12027.0,1372.0,10.0,90289.00383305596,8369.457646422083,1353.5385205219577
5/1/20,12648.0,1436.0,12.0,89517.4276509447,9028.413742978806,1466.1586060765137
5/2/20,13326.0,1534.0,12.0,88693.41409425113,9731.008428073603,1587.577477675282
5/3/20,13875.0,1664.0,12.0,87814.8635288114,10478.77052647245,1718.365944716154
5/4/20,14369.0,1810.0,12.0,86879.70952914204,11273.173805465056,1859.1166653929272
5/5/20,15206.0,1924.0,12.0,85885.91887843986,12115.636974864865,2010.4441466953035
5/6/20,15890.0,2070.0,12.0,84831.49156858207,13007.52368700906,2172.9847444088914
5/7/20,16592.0,2286.0,12.0,83714.47536556327,13950.131979240285,2347.392655196446
5/8/20,17819.0,2370.0,12.0,82534.66855123389,14943.41186062562,2533.9195881404776
5/9/20,18869.0,2449.0,13.0,81291.34945433277,15987.472425719934,2733.178119947283
5/10/20,19753.0,2753.0,14.0,79983.09332083249,17082.798880233804,2946.1077989336964
5/11/20,20769.0,2840.0,14.0,78609.10160307366,18229.316520117987,3173.5818768083464
5/12/20,22116.0,3019.0,14.0,77169.20195976492,19426.390731563417,3416.4073086716553
5/13/20,23382.0,3143.0,14.0,75663.84825598294,20672.82699100121,3675.3247530158396
5/14/20,24902.0,3356.0,14.0,74094.12056317242,21966.87086510266,3951.0085717249103
5/15/20,25865.0,3546.0,14.0,72461.72515914608,23306.208010779243,4244.066830074672
5/16/20,27169.0,3788.0,15.0,70768.99452808466,24687.964175182613,4555.041296732723
5/17/20,28219.0,4370.0,15.0,69018.88736053694,26108.7051957046,4884.407443758455
5/18/20,29055.0,4899.0,15.0,67214.98855341971,27564.436999977213,5232.574446603057
5/19/20,29957.0,5634.0,15.0,65361.50921001783,29050.605605872657,5599.885184109509
5/20/20,30481.0,6600.0,16.0,63463.286639984115,30562.097121503295,5986.616238512585
5/21/20,31346.0,7288.0,17.0,61525.784359339465,32093.237745221675,6392.977895438856
5/22/20,32569.0,7893.0,19.0,59555.09209047278,33637.79376562053,6819.114143906681
5/23/20,33679.0,8513.0,21.0,57557.92576214099,35188.97156153277,7265.1026763262225
5/24/20,34521.0,9170.0,23.0,55541.62750946909,36739.41760203149,7730.954888499426
05/25/20,,,,53514.16567395,38281.21844642995,8216.615879620042
05/26/20,,,,51484.134803444795,39805.90074428161,8721.964452273605
05/27/20,,,,49460.75565218247,41304.43123538007,9246.813112437452
05/28/20,,,,47453.79331512205,42767.29272343761,9790.913961440334
05/29/20,,,,45467.730803327526,44190.0719225868,10354.197274085662
05/30/20,,,,43506.12249003262,45569.78912409043,10936.088385876948
05/31/20,,,,41574.46966635614,46901.78901010414,11535.74132353971
06/01/20,,,,39677.83896650444,48181.850068763124,12152.310964732427
06/02/20,,,,37820.862367771406,49406.18459418205,12784.953038046531
06/03/20,,,,36007.73719053845,50571.438686455134,13432.824123006412
06/04/20,,,,34242.22609827451,51674.69225165607,14095.081650069409
06/05/20,,,,32527.65709753606,52713.459001838106,14770.88390062583
06/06/20,,,,30866.9235379671,53685.68645503397,15459.390006998921
06/07/20,,,,29262.48411229918,54589.75593525592,16159.759952444896
06/08/20,,,,27716.362856351356,55424.48257249572,16871.154571152925
06/09/20,,,,26230.149149030214,56189.115302724655,17592.735548245124
06/10/20,,,,24804.9977123299,56883.336867893515,18323.665419776575
06/11/20,,,,23441.628611332068,57507.263815932616,19063.10757273531
06/12/20,,,,22140.327254205917,58061.44650075177,19810.22624504231
06/13/20,,,,20900.94439220814,58546.86908224032,20564.18652555153
06/14/20,,,,19722.896119683006,58964.94952626712,21324.154354049868
06/15/20,,,,18605.163874062302,59317.53960468052,22089.296521257173
06/16/20,,,,17546.294435865326,59606.9248953084,22858.780668826264
06/17/20,,,,16544.399928698942,59835.82478195817,23631.7752893429
06/18/20,,,,15597.157824878957,60007.39245036918,24407.449724751852
06/19/20,,,,14702.49639494182,60124.6557050662,25184.847899991975
06/20/20,,,,13858.357306769949,60190.437039603385,25963.205653626657
06/21/20,,,,13062.199696027557,60207.810147748285,26741.99015622415
06/22/20,,,,12311.584642082606,60179.730210370464,27520.685147546927
06/23/20,,,,11604.175168006805,60109.033895441535,28298.79093655165
06/24/20,,,,10937.736240575607,59998.439358035175,29075.824401389207
06/25/20,,,,10310.134770268221,59850.54624032708,29851.31898940469
06/26/20,,,,9719.3396112676,59667.835671595,30624.824717137395
06/27/20,,,,9163.42156146044,59452.670268218724,31395.90817032083
06/28/20,,,,8640.553362437193,59207.29413368008,32164.152503882717
06/29/20,,,,8149.009699492053,58933.83285856296,32929.15744194498
06/30/20,,,,7687.167201622961,58634.29352055326,33690.539277823766
07/01/20,,,,7253.504441531615,58310.56468443897,34447.93087402941
07/02/20,,,,6846.601935623448,57964.41640211008,35200.98166226646
07/03/20,,,,6465.14214400765,57597.50021255865,35949.35764343369
07/04/20,,,,6107.909470497156,57211.34914187876,36692.74138762407
07/05/20,,,,5773.7902626086525,56807.37770326655,37430.832034124775
07/06/20,,,,5461.032048428256,56387.58179646905,38163.38615510269
07/07/20,,,,5167.331639759891,55954.37743419977,38890.29092604034
07/08/20,,,,4891.492155041631,55509.06744174585,39611.44040321252
07/09/20,,,,4632.388832870382,55052.877800663766,40326.73336646585
07/10/20,,,,4388.953848707945,54586.972380539184,41036.07377075287
07/11/20,,,,4160.176314881019,54112.45293898698,41739.370746132
07/12/20,,,,3945.102280581199,53630.359121651214,42436.53859776758
07/13/20,,,,3742.834731864981,53141.66846220517,43127.49680592985
07/14/20,,,,3552.533591653757,52647.296382351306,43812.170025994936
07/15/20,,,,3373.415719733816,52148.09619182131,44490.48808844488
07/16/20,,,,3204.754912756346,51644.85908837603,45162.38599886762
07/17/20,,,,3045.881904237431,51138.31415780557,45827.803937957
07/18/20,,,,2896.1843645580548,50629.12837392919,46486.68726151276
07/19/20,,,,2755.106900964095,50117.906598595364,47138.98650044055
