,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.76496666095,2.174145532839935,10.060887806209065
1/24/20,0.0,0.0,0.0,99999.50946909514,2.3634536614806056,10.127077243380297
1/25/20,0.0,0.0,0.0,99999.23162931306,2.5693157785840706,10.199054908356645
1/26/20,0.0,0.0,0.0,99998.92954909711,2.7931382963564126,10.277312606520335
1/27/20,0.0,0.0,0.0,99998.60126830905,3.036373545443261,10.362358145496685
1/28/20,0.0,0.0,0.0,99998.24456098217,3.3006707858180993,10.45476823199856
1/29/20,0.0,0.0,0.0,99997.85693528192,3.5878762360100365,10.5551884820659
1/30/20,0.0,0.0,0.0,99997.43563350583,3.9000330731038035,10.66433342106571
1/31/20,0.0,0.0,0.0,99996.97763208355,4.239381432739758,10.782986483692074
2/1/20,0.0,0.0,0.0,99996.47964157691,4.608358409113878,10.912000013966148
2/2/20,0.0,0.0,0.0,99995.93810667978,5.00959805497777,11.052295265236161
2/3/20,0.0,0.0,0.0,99995.34920621818,5.445931381638661,11.204862400177408
2/4/20,0.0,0.0,0.0,99994.70885315024,5.9203863589594015,11.370760490792266
2/5/20,0.0,0.0,0.0,99994.01269456622,6.43618791535847,11.551117518410178
2/6/20,0.0,0.0,0.0,99993.25611168849,6.996757937809965,11.747130373687662
2/7/20,0.0,0.0,0.0,99992.43337790953,7.606338111064327,11.960283979396864
2/8/20,0.0,0.0,0.0,99991.53842689002,8.269422043686433,12.192151066291004
2/9/20,0.0,0.0,0.0,99990.56601540081,8.989895211632653,12.444089387562144
2/10/20,0.0,0.0,0.0,99989.50998578068,9.772320191067276,12.717694028246889
2/11/20,0.0,0.0,0.0,99988.36324909654,10.621949114791231,13.014801788672996
2/12/20,0.0,0.0,0.0,99987.1177851433,11.544723672242093,13.337491184459376
2/13/20,0.0,0.0,0.0,99985.76464244399,12.547275109494077,13.688082446516091
2/14/20,0.0,0.0,0.0,99984.2939382497,13.636924229258039,14.069137521044361
2/15/20,0.0,0.0,0.0,99982.69485853957,14.821681390881476,14.483460069536553
2/16/20,0.0,0.0,0.0,99980.95565802087,16.110246510348535,14.934095468776189
2/17/20,0.0,0.0,0.0,99979.06366012889,17.51200906028,15.424330810837944
2/18/20,0.0,0.0,0.0,99977.00525702698,19.037048069933288,15.957694903087647
2/19/20,0.0,0.0,0.0,99974.7659096066,20.696132125202478,16.53795826818228
2/20/20,0.0,0.0,0.0,99972.33014748732,22.50071936861827,17.169133144069974
2/21/20,0.0,0.0,0.0,99969.68156901665,24.462957499348025,17.855473483990018
2/22/20,0.0,0.0,0.0,99966.80284127033,26.595683773195734,18.601474956472853
2/23/20,0.0,0.0,0.0,99963.67570005206,28.912425002602028,19.41187494534007
2/24/20,0.0,0.0,0.0,99960.27692984411,31.43035660910503,20.292713546777737
2/25/20,0.0,0.0,0.0,99956.5787937228,34.16999510708884,21.251211170106888
2/26/20,1.0,0.0,0.0,99952.56060394966,37.14668446319719,22.29271158712584
2/27/20,1.0,0.0,0.0,99948.19799008478,40.37849004543619,23.423519869778715
2/28/20,3.0,0.0,0.0,99943.46252081022,43.886476871801165,24.651002317974374
2/29/20,3.0,0.0,0.0,99938.32170393012,47.69470961027666,25.98358645958643
3/1/20,3.0,0.0,0.0,99932.7389863707,51.83025257883644,27.43076105045325
3/2/20,3.0,0.0,0.0,99926.67375418017,56.323169745443494,29.00307607437793
3/3/20,3.0,0.0,0.0,99920.08133252882,61.206524728049985,30.712142743128332
3/4/20,3.0,1.0,0.0,99912.91298570896,66.51638079459734,32.57063349643706
3/5/20,5.0,1.0,0.0,99905.11591713497,72.29180086301618,34.59228200200146
3/6/20,8.0,1.0,0.0,99896.63326934328,78.57484750122633,36.79188315548363
3/7/20,6.0,3.0,0.0,99887.40412399234,85.41058292713686,39.18529308051042
3/8/20,12.0,3.0,0.0,99877.36350186267,92.84706900864605,41.789429128673405
3/9/20,12.0,3.0,0.0,99866.44236285682,100.93536726364137,44.62226987952894
3/10/20,22.0,3.0,0.0,99854.5676059994,109.72953885999954,47.70285514059811
3/11/20,39.0,6.0,0.0,99841.66206943704,119.28664461558645,51.05128594736674
3/12/20,43.0,6.0,0.0,99827.64453043845,129.6667449982573,54.688724563285426
3/13/20,82.0,7.0,0.0,99812.4275327366,140.93445563220376,58.63801163118246
3/14/20,114.0,9.0,0.0,99795.88117499727,153.18498631870767,62.9338386840178
3/15/20,122.0,9.0,0.0,99777.8991733079,166.49707034690013,67.60375634519058
3/16/20,149.0,9.0,0.0,99758.37605338241,180.94913853389204,72.67480808368741
3/17/20,168.0,16.0,0.0,99737.18853977697,196.6326118873373,78.17884833568466
3/18/20,241.0,19.0,0.0,99714.19555589001,213.651901605433,84.15254250454839
3/19/20,252.0,25.0,0.0,99689.23822396224,232.12440907691945,90.63736696083436
3/20/20,283.0,25.0,0.0,99662.13986507662,252.18052588107992,97.67960904228812
3/21/20,315.0,52.0,0.0,99632.7059991584,273.96363378774095,105.33036705384488
3/22/20,366.0,64.0,3.0,99600.72434497508,297.6301047572722,113.6455502676296
3/23/20,505.0,64.0,7.0,99565.96482013645,323.34930094058643,122.68587892295699
3/24/20,704.0,79.0,11.0,99528.17954109452,351.3035746791396,132.51688422633137
3/25/20,803.0,86.0,17.0,99487.1028231436,381.6882685049309,143.20890835144692
3/26/20,912.0,94.0,23.0,99442.45118042029,414.7117151405023,154.83710443918744
3/27/20,1151.0,115.0,26.0,99393.92332590342,450.59523749893935,167.48143659762655
3/28/20,1276.0,139.0,37.0,99341.2001714141,489.5731486838703,181.2266799020275
3/29/20,1566.0,206.0,43.0,99283.94482761568,531.8927519894671,196.1624203948433
3/30/20,1835.0,209.0,65.0,99221.80260401382,577.8143409004442,212.38305508571665
3/31/20,1943.0,220.0,82.0,99154.40100895645,627.6111990920597,229.98779195148003
4/1/20,2116.0,252.0,92.0,99081.32596223368,681.5817967229394,249.09224104336903
4/2/20,2356.0,267.0,115.0,99002.06305886644,740.0889517741197,269.8479893594312
4/3/20,2767.0,283.0,133.0,98916.11935996331,803.5025649010579,292.37807513561864
4/4/20,3138.0,329.0,146.0,98822.95251764347,872.2276218255406,316.8198605309668
4/5/20,3339.0,374.0,151.0,98721.9623634083,946.7080794372393,343.32955715444984
4/6/20,3475.0,406.0,176.0,98612.49090814129,1027.42686579371,372.0822260649806
