,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
3/17/20,106.0,8.0,0.0,500000.0,5.0,0.0
3/18/20,139.0,8.0,0.0,499998.74477979896,6.094815295937633,0.16040490510865255
3/19/20,189.0,9.0,1.0,499997.21451428276,7.429527238039642,0.35595847917156814
3/20/20,243.0,9.0,1.0,499995.3496173342,9.056107068847265,0.5942755969157358
3/21/20,293.0,12.0,1.0,499993.0763695095,11.038853006662897,0.8847774838016482
3/22/20,350.0,16.0,1.0,499990.3047819071,13.456253290876907,1.2389648019590689
3/23/20,421.0,16.0,1.0,499986.92511559656,16.40402147568986,1.6708629277844766
3/24/20,472.0,22.0,1.0,499982.8082206505,19.9948017769687,2.1969775725870107
3/25/20,626.0,29.0,3.0,499977.7938921914,24.368323942530377,2.837783866101616
3/26/20,799.0,38.0,3.0,499971.6792550478,29.70153234767203,3.619212604537821
3/27/20,987.0,45.0,4.0,499964.2187112106,36.20863181531826,4.5726569741087255
3/28/20,1211.0,49.0,4.0,499955.1238762543,44.141143034581916,5.734980711113912
3/29/20,1462.0,64.0,8.0,499944.03386570216,53.81380657603789,7.15232772180797
3/30/20,1761.0,66.0,9.0,499930.5339739829,65.58832086973956,8.877705147337144
3/31/20,2199.0,121.0,17.0,499914.10310889385,79.91916444496991,10.977726661178359
4/1/20,2563.0,190.0,24.0,499894.07124844345,97.39067740353781,13.53807415301942
4/2/20,3283.0,235.0,30.0,499869.61944085144,118.71706141977799,16.663497728759022
4/3/20,3834.0,281.0,34.0,499839.77980454895,144.7423797405511,20.47781571050675
4/4/20,4355.0,333.0,43.0,499803.4268479587,176.4481096852201,25.12504235608131
4/5/20,4989.0,355.0,45.0,499759.1058286798,215.10261136392936,30.791559956258073
4/6/20,5890.0,406.0,47.0,499705.19875618786,262.11704593814477,37.684197873950254
4/7/20,6945.0,494.0,58.0,499639.61344938894,319.31584974344395,46.07070086762005
4/8/20,8029.0,580.0,63.0,499559.665371706,389.03951761421877,56.29511067976883
4/9/20,9357.0,698.0,76.0,499462.07763107936,474.14460288367525,68.77776603693721
4/10/20,11028.0,795.0,94.0,499342.98097996647,578.0037173838341,84.01530264970492
4/11/20,12433.0,1045.0,106.0,499197.9138153418,704.5055314455298,102.58065321269095
4/12/20,14349.0,1291.0,130.0,499021.2335385224,858.5636448092033,125.20281666840462
4/13/20,16710.0,1470.0,148.0,498806.3464401298,1045.9259631796774,152.72759669050734
4/14/20,19238.0,1694.0,170.0,498545.2133492983,1273.6010703796487,186.18558032206863
4/15/20,22306.0,1986.0,198.0,498227.37842849805,1550.6944272518995,226.9271442500569
4/16/20,25402.0,2304.0,232.0,497839.9687042125,1888.4087761894898,276.6225195980206
4/17/20,29145.0,2590.0,273.0,497367.6940669382,2300.044141135759,337.2617919260883
4/18/20,33423.0,3057.0,313.0,496792.8472711847,2800.997827584325,411.15490123096856
4/19/20,39201.0,3291.0,361.0,496094.8733956128,3409.113959943829,501.0126444433738
4/20/20,43270.0,3446.0,405.0,495247.7019234753,4146.976089000833,610.3219875239007
4/21/20,48434.0,3873.0,456.0,494220.72217644233,5041.277037038098,743.0007865196058
4/22/20,53066.0,4420.0,513.0,492975.50946782104,6125.36844120947,904.1220909694764
4/23/20,57327.0,4891.0,555.0,491465.32236006705,7439.657644350813,1100.0199955821558
4/24/20,62439.0,5568.0,615.0,489635.10266478406,9031.607694980014,1338.2896402359443
4/25/20,67657.0,6250.0,681.0,487421.47544272424,10955.737347296968,1627.7872099787965
4/26/20,73435.0,6767.0,747.0,484752.7490037881,13273.621061183596,1978.629935028324
4/27/20,79007.0,7346.0,794.0,481553.13297068974,16049.239208835448,2402.627820474813
4/28/20,84235.0,8456.0,867.0,477720.4060159679,19370.001356336616,2914.5926276955115
4/29/20,88141.0,10286.0,972.0,473126.01784617215,23346.75623789283,3532.225915935004
4/30/20,93806.0,11619.0,1073.0,467637.9270766407,28090.736362041658,4276.336561317663
5/1/20,100042.0,13220.0,1169.0,461120.8019978882,33713.35213729784,5170.845864814026
5/2/20,107819.0,15013.0,1222.0,453436.0205756059,40326.19187215337,6242.787552240803
5/3/20,116768.0,16639.0,1280.0,444441.67045066186,48041.02177507742,7522.307774260873
5/4/20,125817.0,18095.0,1356.0,433992.6975183023,56969.65619252387,9042.646289173786
5/5/20,134054.0,19865.0,1451.0,421995.6794019425,67175.07398600758,10834.246612049874
5/6/20,143065.0,21327.0,1537.0,408318.18203864247,78746.55295257544,12940.265008782106
5/7/20,151732.0,23803.0,1625.0,392844.4359733686,91751.90912275802,15408.654903873365
5/8/20,159528.0,26608.0,1723.0,375555.3827122894,106168.17950174348,18281.43778596712
5/9/20,164933.0,31916.0,1827.0,356528.67472277506,121881.62206937757,21594.703207847422
