,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.8615185202,2.0871089322431504,10.051372547555165
1/24/20,0.0,0.0,0.0,99999.71700577479,2.17801163246273,10.104982592751378
1/25/20,0.0,0.0,0.0,99999.56618919606,2.2728795389050154,10.160931265049648
1/26/20,0.0,0.0,0.0,99999.40877715951,2.371896071281402,10.219326769215536
1/27/20,0.0,0.0,0.0,99999.24450197276,2.4752296111505907,10.280268416101215
1/28/20,0.0,0.0,0.0,99999.0730801927,2.583058445731646,10.343861361584588
1/29/20,0.0,0.0,0.0,99998.89421030301,2.695572227752759,10.410217469246222
1/30/20,0.0,0.0,0.0,99998.7075727142,2.812971975451247,10.47945531036933
1/31/20,0.0,0.0,0.0,99998.5128297635,2.9354700725735547,10.55170016393979
2/1/20,0.0,0.0,0.0,99998.30962571499,3.063290268375253,10.62708401664613
2/2/20,0.0,0.0,0.0,99998.09758675951,3.19666767762104,10.705745562879539
2/3/20,0.0,0.0,0.0,99997.87632101469,3.3358487805847385,10.787830204733854
2/4/20,0.0,0.0,0.0,99997.64541852496,3.4810914230493006,10.873490052005579
2/5/20,0.0,0.0,0.0,99997.40445126151,3.6326648163068027,10.96288392219386
2/6/20,0.0,0.0,0.0,99997.15297312236,3.79084953715845,11.056177340500513
2/7/20,0.0,0.0,0.0,99996.89051993226,3.955937527914572,11.15354253983
2/8/20,0.0,0.0,0.0,99996.61660944282,4.128232096394627,11.25515846078944
2/9/20,0.0,0.0,0.0,99996.3307413324,4.308047915927197,11.361210751688613
2/10/20,0.0,0.0,0.0,99996.03239720612,4.495711025349996,11.47189176853995
2/11/20,0.0,0.0,0.0,99995.72104059595,4.691558829009857,11.587400575058538
2/12/20,0.0,0.0,0.0,99995.39611696059,4.895940096762747,11.707942942662124
2/13/20,0.0,0.0,0.0,99995.05705368557,5.109214963973754,11.833731350471107
2/14/20,0.0,0.0,0.0,99994.70326008319,5.331754931517095,11.964984985308542
2/15/20,0.0,0.0,0.0,99994.33401448726,5.564013706205696,12.101971806549399
2/16/20,0.0,0.0,0.0,99993.94846049935,5.806529568652328,12.245009932016655
2/17/20,0.0,0.0,0.0,99993.54601805286,6.059667475787034,12.39431447137213
2/18/20,0.0,0.0,0.0,99993.1260671395,6.323817499953584,12.550115360562845
2/19/20,0.0,0.0,0.0,99992.68793317096,6.599404013348339,12.712662815697811
2/20/20,0.0,0.0,0.0,99992.23088697894,6.886885688020239,12.882227333048004
2/21/20,0.0,0.0,0.0,99991.7541448151,7.186755495870814,13.059099689046386
2/22/20,0.0,0.0,0.0,99991.25686835108,7.499540708654178,13.24359094028789
2/23/20,0.0,0.0,0.0,99990.7381646785,7.825802897977027,13.436032423529426
2/24/20,0.0,0.0,0.0,99990.19708630902,8.166137935298647,13.636775755689886
2/25/20,0.0,0.0,0.0,99989.63263117423,8.521175991930907,13.846192833850132
2/26/20,0.0,0.0,0.0,99989.04374262573,8.89158153903826,14.064675835253007
2/27/20,0.0,0.0,0.0,99988.42930943507,9.278053347637748,14.292637217303328
2/28/20,0.0,0.0,0.0,99987.78816579386,9.681324488598992,14.530509717567892
