,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.9931344438,2.0068655361650385,10.000000020034308
1/24/20,0.0,0.0,0.0,99999.98624532021,2.013754639648874,10.00000004013739
1/25/20,0.0,0.0,0.0,99999.97933254835,2.020667391347609,10.00000006030948
1/26/20,0.0,0.0,0.0,99999.972396047,2.02760387244554,10.000000080550818
1/27/20,0.0,0.0,0.0,99999.96543573437,2.0345641647671315,10.000000100861639
1/28/20,0.0,0.0,0.0,99999.95845152864,2.0415483501202276,10.000000121242184
1/29/20,0.0,0.0,0.0,99999.95144334792,2.0485565103791443,10.000000141692691
1/30/20,0.0,0.0,0.0,99999.94441111006,2.055588727717628,10.000000162213402
1/31/20,0.0,0.0,0.0,99999.93735473258,2.0626450846088584,10.000000182804555
2/1/20,0.0,0.0,0.0,99999.93027413271,2.0697256638254466,10.000000203466392
2/2/20,0.0,0.0,0.0,99999.92316922736,2.076830548439435,10.000000224199157
2/3/20,0.0,0.0,0.0,99999.91603993317,2.083959821822299,10.000000245003092
2/4/20,0.0,0.0,0.0,99999.90888616648,2.0911135676449457,10.000000265878443
2/5/20,0.0,0.0,0.0,99999.9017078433,2.0982918698777127,10.00000028682545
2/6/20,0.0,0.0,0.0,99999.89450487937,2.1054948127903717,10.000000307844367
2/7/20,0.0,0.0,0.0,99999.88727719011,2.1127224809521246,10.000000328935434
2/8/20,0.0,0.0,0.0,99999.88002469066,2.1199749592316053,10.000000350098901
2/9/20,0.0,0.0,0.0,99999.87274729587,2.127252332796881,10.000000371335016
2/10/20,0.0,0.0,0.0,99999.86544492024,2.1345546871154495,10.00000039264403
2/11/20,0.0,0.0,0.0,99999.85811747801,2.141882107954241,10.000000414026191
2/12/20,0.0,0.0,0.0,99999.85076488314,2.149234681379617,10.000000435481752
2/13/20,0.0,0.0,0.0,99999.84338704923,2.156612493757372,10.000000457010964
2/14/20,0.0,0.0,0.0,99999.83598388963,2.1640156317527315,10.000000478614082
2/15/20,0.0,0.0,0.0,99999.82855531738,2.171444182330353,10.000000500291357
2/16/20,0.0,0.0,0.0,99999.8211012452,2.1788982327543263,10.000000522043043
2/17/20,0.0,0.0,0.0,99999.81362158553,2.186377870588173,10.0000005438694
2/18/20,0.0,0.0,0.0,99999.80611625053,2.1938831836948465,10.000000565770682
2/19/20,0.0,0.0,0.0,99999.79858515202,2.2014142602367315,10.000000587747143
2/20/20,0.0,0.0,0.0,99999.79102820152,2.208971188675646,10.000000609799047
2/21/20,0.0,0.0,0.0,99999.7834453103,2.2165540577728384,10.00000063192665
2/22/20,0.0,0.0,0.0,99999.77583638928,2.22416295658899,10.000000654130211
2/23/20,0.0,0.0,0.0,99999.7682013491,2.2317979744842136,10.000000676409991
2/24/20,0.0,0.0,0.0,99999.76054010012,2.2394592011180543,10.000000698766256
2/25/20,0.0,0.0,0.0,99999.75285255235,2.2471467264494884,10.000000721199262
2/26/20,0.0,0.0,0.0,99999.74513861556,2.254860640736925,10.000000743709275
2/27/20,0.0,0.0,0.0,99999.73739819917,2.262601034538204,10.000000766296562
2/28/20,0.0,0.0,0.0,99999.72963121232,2.270367998710598,10.000000788961385
2/29/20,0.0,0.0,0.0,99999.72183756388,2.2781616244108114,10.00000081170401
3/1/20,0.0,0.0,0.0,99999.71401715698,2.285982008491023,10.000000834524723
3/2/20,0.0,0.0,0.0,99999.70616986012,2.293829282456847,10.000000857423903
3/3/20,0.0,0.0,0.0,99999.69829557606,2.3017035435383453,10.000000880401837
3/4/20,0.0,0.0,0.0,99999.69039421584,2.309604880696207,10.000000903458785
3/5/20,0.0,0.0,0.0,99999.68246569009,2.3175333833107463,10.000000926595005
3/6/20,0.0,0.0,0.0,99999.674509909,2.3254891411819014,10.000000949810762
3/7/20,0.0,0.0,0.0,99999.66652678236,2.3334722445292364,10.000000973106316
3/8/20,0.0,0.0,0.0,99999.65851621953,2.3414827839919394,10.000000996481935
3/9/20,0.0,0.0,0.0,99999.65047812944,2.3495208506288248,10.000001019937882
3/10/20,0.0,0.0,0.0,99999.6424124206,2.35758653591833,10.000001043474427
3/11/20,0.0,0.0,0.0,99999.63431900114,2.3656799317585193,10.000001067091835
3/12/20,0.0,0.0,0.0,99999.62619777874,2.37380113046708,10.000001090790377
3/13/20,0.0,0.0,0.0,99999.61804866065,2.3819502247813267,10.000001114570322
3/14/20,1.0,0.0,0.0,99999.60987155371,2.3901273078581964,10.000001138431946
3/15/20,2.0,0.0,0.0,99999.60166636434,2.3983324732742526,10.000001162375517
3/16/20,2.0,0.0,0.0,99999.59343299856,2.4065658150256835,10.000001186401313
3/17/20,2.0,0.0,0.0,99999.58517136196,2.4148274275283015,10.000001210509607
3/18/20,2.0,0.0,0.0,99999.57688135968,2.423117405617545,10.000001234700678
3/19/20,2.0,0.0,0.0,99999.56856289647,2.4314358445484765,10.000001258974804
3/20/20,2.0,0.0,0.0,99999.56021587667,2.439782839995784,10.00000128333226
3/21/20,2.0,0.0,0.0,99999.55184020416,2.4481584880537803,10.000001307773331
3/22/20,2.0,0.0,0.0,99999.54343578246,2.4565628852364023,10.000001332298298
3/23/20,3.0,0.0,0.0,99999.5350025146,2.464996128477213,10.000001356907442
3/24/20,3.0,0.0,0.0,99999.52654030327,2.4734583151294,10.000001381601049
3/25/20,3.0,0.0,0.0,99999.51804905065,2.4819495429657747,10.000001406379402
3/26/20,3.0,0.0,0.0,99999.50952865857,2.4904699101787755,10.000001431242792
3/27/20,2.0,1.0,0.0,99999.50097902842,2.499019515380464,10.000001456191502
3/28/20,2.0,1.0,0.0,99999.49240006116,2.507598457602528,10.000001481225823
3/29/20,8.0,1.0,0.0,99999.48379165736,2.516206836296279,10.000001506346043
3/30/20,8.0,1.0,0.0,99999.47515371711,2.5248447513326537,10.000001531552458
3/31/20,12.0,1.0,0.0,99999.46648614015,2.533512303002215,10.000001556845358
4/1/20,12.0,1.0,0.0,99999.45778882575,2.5422095920151486,10.000001582225037
4/2/20,12.0,1.0,0.0,99999.4490616728,2.5509367195012675,10.00000160769179
4/3/20,12.0,1.0,0.0,99999.44030457974,2.5596937870100076,10.000001633245914
4/4/20,13.0,1.0,0.0,99999.4315174446,2.5684808965104304,10.000001658887706
4/5/20,13.0,1.0,0.0,99999.42270016499,2.577298150391223,10.000001684617464
4/6/20,13.0,1.0,0.0,99999.4138526381,2.586145651460696,10.000001710435491
4/7/20,13.0,1.0,0.0,99999.4049747607,2.5950235029467876,10.000001736342085
4/8/20,13.0,1.0,0.0,99999.39606642917,2.6039318084970575,10.00000176233755
4/9/20,13.0,1.0,0.0,99999.38712753939,2.6128706721786923,10.000001788422189
4/10/20,14.0,1.0,0.0,99999.37815798692,2.6218401984785036,10.000001814596308
4/11/20,14.0,1.0,0.0,99999.36915766684,2.6308404923029274,10.000001840860213
4/12/20,11.0,4.0,0.0,99999.3601264738,2.639871658978024,10.000001867214209
4/13/20,11.0,4.0,0.0,99999.35106430209,2.6489338042494808,10.000001893658608
4/14/20,4.0,11.0,0.0,99999.34197104552,2.6580270342826076,10.000001920193718
4/15/20,4.0,11.0,0.0,99999.3328465975,2.6671514556623404,10.00000194681985
4/16/20,4.0,11.0,0.0,99999.32369085106,2.676307175393241,10.000001973537318
4/17/20,4.0,11.0,0.0,99999.31450369876,2.685494300899493,10.000002000346432
4/18/20,4.0,11.0,0.0,99999.30528503272,2.6947129400249086,10.000002027247511
4/19/20,4.0,11.0,0.0,99999.29603474472,2.7039632010329235,10.000002054240868
4/20/20,2.0,13.0,0.0,99999.28675272607,2.713245192606597,10.000002081326821
4/21/20,2.0,13.0,0.0,99999.27743886763,2.7225590238486155,10.000002108505688
4/22/20,0.0,15.0,0.0,99999.26809305993,2.731904804281289,10.000002135777791
4/23/20,0.0,15.0,0.0,99999.258715193,2.741282643846552,10.000002163143447
4/24/20,0.0,15.0,0.0,99999.24930515648,2.750692652905966,10.00000219060298
4/25/20,0.0,15.0,0.0,99999.2398628396,2.7601349422407155,10.000002218156714
4/26/20,0.0,15.0,0.0,99999.23038813114,2.7696096230516103,10.000002245804973
4/27/20,0.0,15.0,0.0,99999.22088091949,2.7791168069590855,10.000002273548082
4/28/20,0.0,15.0,0.0,99999.21134109261,2.7886566060032014,10.000002301386369
4/29/20,2.0,15.0,0.0,99999.20176853803,2.7982291326436424,10.00000232932016
4/30/20,2.0,15.0,0.0,99999.19216314288,2.8078344997597178,10.000002357349787
5/1/20,2.0,15.0,0.0,99999.18252479387,2.817472820650363,10.00000238547558
