,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.97929548963,2.02070449028277,10.000000020103345
1/24/20,0.0,0.0,0.0,99999.95837664546,2.041623314137397,10.000000040414806
1/25/20,0.0,0.0,0.0,99999.9372412488,2.0627586902668753,10.000000060936534
1/26/20,0.0,0.0,0.0,99999.91588702898,2.0841128893452114,10.000000081670736
1/27/20,0.0,0.0,0.0,99999.89431169826,2.1056881991373615,10.000000102619634
1/28/20,0.0,0.0,0.0,99999.87251298863,2.127486887591121,10.00000012378543
1/29/20,0.0,0.0,0.0,99999.85048860514,2.1495112496965447,10.000000145170352
1/30/20,0.0,0.0,0.0,99999.82823622558,2.1717636076496034,10.000000166776655
1/31/20,0.0,0.0,0.0,99999.80575350055,2.194246310852177,10.000000188606622
2/1/20,0.0,0.0,0.0,99999.78303805343,2.21696173591206,10.000000210662558
2/2/20,0.0,0.0,0.0,99999.76008748042,2.2399122866429586,10.000000232946798
2/3/20,0.0,0.0,0.0,99999.73689935048,2.263100394064492,10.000000255461703
2/4/20,0.0,0.0,0.0,99999.7134712054,2.2865285164021913,10.00000027820966
2/5/20,0.0,0.0,0.0,99999.68980055973,2.3101991390875005,10.000000301193083
2/6/20,0.0,0.0,0.0,99999.66588490084,2.3341147747577766,10.000000324414412
2/7/20,0.0,0.0,0.0,99999.64172168888,2.3582779632562882,10.000000347876112
2/8/20,0.0,0.0,0.0,99999.6173083568,2.382691271632217,10.000000371580676
2/9/20,0.0,0.0,0.0,99999.59264231034,2.4073572941406574,10.000000395530623
2/10/20,0.0,0.0,0.0,99999.56772092804,2.4322786522426156,10.0000004197285
2/11/20,0.0,0.0,0.0,99999.54254156123,2.457457994605011,10.000000444176878
2/12/20,0.0,0.0,0.0,99999.51710153403,2.4828979971006757,10.000000468878357
2/13/20,0.0,0.0,0.0,99999.49139814336,2.5086013628083537,10.000000493835557
2/14/20,0.0,0.0,0.0,99999.46542865894,2.5345708220127015,10.000000519051133
2/15/20,0.0,0.0,0.0,99999.43919032328,2.5608091322042887,10.000000544527763
2/16/20,0.0,0.0,0.0,99999.41268035166,2.5873190780795974,10.00000057026815
2/17/20,0.0,0.0,0.0,99999.3858959322,2.614103471541022,10.000000596275024
2/18/20,0.0,0.0,0.0,99999.35883422576,2.6411651516968684,10.000000622551143
2/19/20,0.0,0.0,0.0,99999.33149236605,2.6685069848613576,10.00000064909929
2/20/20,0.0,0.0,0.0,99999.30386745953,2.696131864554621,10.000000675922273
2/21/20,0.0,0.0,0.0,99999.27595658548,2.724042711502703,10.00000070302293
2/22/20,0.0,0.0,0.0,99999.24775678839,2.7522424812152084,10.000000730404132
2/23/20,0.0,0.0,0.0,99999.21926284816,2.7807363937891245,10.000000758070948
2/24/20,0.0,0.0,0.0,99999.1904703162,2.8095288977846598,10.000000786027703
2/25/20,0.0,0.0,0.0,99999.16137661907,2.838622566656289,10.000000814276893
2/26/20,0.0,0.0,0.0,99999.13197912922,2.8680200279781154,10.000000842821068
2/27/20,0.0,0.0,0.0,99999.1022751649,2.8977239634438687,10.000000871662834
2/28/20,0.0,0.0,0.0,99999.07226199034,2.927737108866906,10.000000900804848
2/29/20,0.0,0.0,0.0,99999.04193681559,2.958062254180214,10.000000930249817
3/1/20,0.0,0.0,0.0,99999.01129679657,2.9887022434364052,10.000000960000502
3/2/20,0.0,0.0,0.0,99998.98033903514,3.0196599748077197,10.000000990059718
3/3/20,0.0,0.0,0.0,99998.94906057899,3.050938400586026,10.000001020430332
3/4/20,0.0,0.0,0.0,99998.91745842171,3.0825405271828195,10.000001051115262
3/5/20,0.0,0.0,0.0,99998.88552950276,3.114469415129224,10.00000108211748
3/6/20,0.0,0.0,0.0,99998.85327070749,3.1467281790759905,10.00000111344001
3/7/20,0.0,0.0,0.0,99998.82067886714,3.1793199877934972,10.00000114508593
3/8/20,0.0,0.0,0.0,99998.78775075878,3.2122480641717504,10.000001177058369
3/9/20,0.0,0.0,0.0,99998.75448310543,3.2455156852203837,10.000001209360509
3/10/20,0.0,0.0,0.0,99998.72087257594,3.2791261820686586,10.000001241995582
3/11/20,0.0,0.0,0.0,99998.68691578507,3.3130829399654638,10.000001274966879
3/12/20,0.0,0.0,0.0,99998.65260929345,3.3473893982793164,10.000001308277737
3/13/20,0.0,0.0,0.0,99998.61794960758,3.3820490504983596,10.000001341931549
3/14/20,1.0,0.0,0.0,99998.58293317984,3.4170654442303663,10.000001375931761
3/15/20,1.0,0.0,0.0,99998.54755640852,3.452442181202735,10.00000141028187
3/16/20,1.0,0.0,0.0,99998.51181563776,3.4881829172624927,10.000001444985424
3/17/20,1.0,0.0,0.0,99998.47570715759,3.524291362376294,10.000001480046027
3/18/20,1.0,0.0,0.0,99998.43922720391,3.5607712806304215,10.000001515467334
3/19/20,1.0,0.0,0.0,99998.40237195852,3.5976264902307844,10.000001551253051
3/20/20,1.0,0.0,0.0,99998.3651375491,3.6348608635029196,10.000001587406942
3/21/20,1.0,0.0,0.0,99998.32752004919,3.6724783268919934,10.000001623932818
3/22/20,1.0,0.0,0.0,99998.28951547822,3.710482860962797,10.000001660834544
3/23/20,1.0,0.0,0.0,99998.2511198015,3.7488785003997513,10.000001698116037
3/24/20,1.0,0.0,0.0,99998.21232893023,3.787669334006903,10.000001735781268
3/25/20,1.0,0.0,0.0,99998.17313872147,3.8268595047079286,10.000001773834262
3/26/20,1.0,0.0,0.0,99998.13354497819,3.8664532095461306,10.000001812279093
3/27/20,1.0,0.0,0.0,99998.09354344921,3.9064546996844394,10.00000185111989
3/28/20,0.0,1.0,0.0,99998.05312982925,3.946868280405413,10.000001890360833
3/29/20,0.0,1.0,0.0,99998.01229975889,3.987698311111237,10.000001930006157
3/30/20,0.0,1.0,0.0,99997.97104882463,4.028949205323726,10.000001970060145
3/31/20,0.0,1.0,0.0,99997.9293725588,4.070625430684318,10.000002010527139
4/1/20,0.0,1.0,0.0,99997.88726643965,4.112731508954084,10.000002051411528
4/2/20,1.0,1.0,0.0,99997.84472589128,4.15527201601372,10.000002092717756
4/3/20,2.0,1.0,0.0,99997.8017462837,4.198251581863549,10.00000213445032
4/4/20,6.0,1.0,0.0,99997.75832293277,4.241674890623522,10.000002176613767
4/5/20,6.0,1.0,0.0,99997.71445110027,4.285546680533219,10.0000022192127
4/6/20,6.0,1.0,0.0,99997.67012599381,4.329871743951845,10.000002262251773
4/7/20,7.0,1.0,0.0,99997.62534276691,4.374654927358235,10.000002305735691
4/8/20,7.0,1.0,0.0,99997.58009651898,4.4199011313508505,10.000002349669215
4/9/20,11.0,1.0,0.0,99997.5343822953,4.465615310647781,10.000002394057155
4/10/20,11.0,1.0,0.0,99997.48819508702,4.5118024740867435,10.000002438904376
4/11/20,11.0,1.0,0.0,99997.44152983117,4.558467684625081,10.000002484215797
4/12/20,11.0,1.0,0.0,99997.39438141068,4.605616059339768,10.000002529996383
4/13/20,11.0,1.0,0.0,99997.34674465434,4.653252769427402,10.000002576251159
4/14/20,11.0,1.0,0.0,99997.29861433682,4.701383040204212,10.0000026229852
4/15/20,11.0,1.0,0.0,99997.2499851787,4.750012151106052,10.00000267020363
4/16/20,11.0,1.0,0.0,99997.20085184641,4.799145435688404,10.00000271791163
4/17/20,11.0,1.0,0.0,99997.15120895227,4.848788281626378,10.000002766114436
4/18/20,11.0,1.0,0.0,99997.10105105447,4.898946130714712,10.000002814817327
4/19/20,11.0,1.0,0.0,99997.05037265712,4.949624478867774,10.000002864025644
4/20/20,11.0,1.0,0.0,99996.99916821015,5.000828876119552,10.000002913744776
4/21/20,10.0,2.0,0.0,99996.9474321094,5.0525649266236705,10.000002963980165
4/22/20,10.0,3.0,0.0,99996.89515869661,5.104838288653375,10.000003014737306
4/23/20,10.0,3.0,0.0,99996.84234225939,5.157654674601541,10.00000306602175
4/24/20,9.0,5.0,0.0,99996.78897703119,5.211019850980675,10.000003117839091
4/25/20,9.0,5.0,0.0,99996.7350571914,5.264939638422904,10.000003170194987
4/26/20,9.0,5.0,0.0,99996.68057686524,5.319419911679987,10.000003223095142
4/27/20,7.0,8.0,0.0,99996.62553012384,5.374466599623313,10.000003276545312
4/28/20,7.0,8.0,0.0,99996.56991098421,5.430085685243894,10.00000333055131
4/29/20,8.0,8.0,0.0,99996.51371340924,5.486283205652368,10.000003385119
4/30/20,8.0,8.0,0.0,99996.45693130768,5.54306525207901,10.000003440254295
5/1/20,8.0,8.0,0.0,99996.39955853418,5.6004379698737115,10.000003495963163
5/2/20,8.0,8.0,0.0,99996.34158888925,5.658407558505999,10.000003552251627
5/3/20,8.0,8.0,0.0,99996.28301611933,5.716980271565023,10.00000360912576
5/4/20,8.0,9.0,0.0,99996.22383391667,5.776162416759564,10.000003666591684
5/5/20,8.0,9.0,0.0,99996.16403591944,5.8359603559180275,10.000003724655585
5/6/20,8.0,9.0,0.0,99996.1036157117,5.896380504988448,10.000003783323688
5/7/20,8.0,9.0,0.0,99996.04256682337,5.957429334038489,10.000003842602279
5/8/20,8.0,9.0,0.0,99995.98088273026,6.019113367255437,10.000003902497694
5/9/20,8.0,9.0,0.0,99995.91855685406,6.081439182946212,10.00000396301632
5/10/20,8.0,9.0,0.0,99995.8555825623,6.144413413537357,10.000004024164602
5/11/20,8.0,9.0,0.0,99995.79195316849,6.208042745575048,10.000004085949032
5/12/20,5.0,12.0,0.0,99995.72766193192,6.272333919725082,10.000004148376156
5/13/20,5.0,12.0,0.0,99995.66270205779,6.337293730772886,10.000004211452573
5/14/20,5.0,12.0,0.0,99995.5970666972,6.402929027623516,10.000004275184937
5/15/20,3.0,14.0,0.0,99995.53074894713,6.469246713301657,10.000004339579949
5/16/20,3.0,14.0,0.0,99995.46374185041,6.536253744951616,10.000004404644368
5/17/20,3.0,14.0,0.0,99995.39603839579,6.6039571338373335,10.000004470385003
5/18/20,3.0,14.0,0.0,99995.32763151787,6.672363945342374,10.000004536808714
5/19/20,3.0,14.0,0.0,99995.25851409712,6.741481298969929,10.000004603922418
5/20/20,4.0,14.0,0.0,99995.18867895994,6.8113163683428235,10.000004671733082
5/21/20,4.0,14.0,0.0,99995.11811887856,6.881876381203502,10.000004740247725
5/22/20,4.0,14.0,0.0,99995.04682657112,6.953168619414042,10.000004809473419
5/23/20,4.0,14.0,0.0,99994.97479470164,7.025200418956147,10.000004879417288
5/24/20,4.0,14.0,0.0,99994.90201588,7.09797916993115,10.000004950086511
