,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.90249605621,2.0975032217902885,10.000000722006657
1/24/20,0.0,0.0,0.0,99999.80023875243,2.199759768365722,10.000001479212212
1/25/20,0.0,0.0,0.0,99999.69298518311,2.307012543481842,10.000002273415545
1/26/20,0.0,0.0,0.0,99999.58047722562,2.4195196678490936,10.000003106528274
1/27/20,0.0,0.0,0.0,99999.46247979702,2.5375162227028483,10.000003980291197
1/28/20,0.0,0.0,0.0,99999.33874093046,2.661254172987538,10.000004896570164
1/29/20,0.0,0.0,0.0,99999.20899011202,2.791004030621404,10.000005857368407
1/30/20,0.0,0.0,0.0,99999.07293828069,2.9270548544964994,10.00000686482654
1/31/20,0.0,0.0,0.0,99998.9302778283,3.069714250478687,10.00000792122256
2/1/20,0.0,0.0,0.0,99998.78068259962,3.219308371407642,10.000009028971842
2/2/20,0.0,0.0,0.0,99998.62380789228,3.3761819170968472,10.000010190627151
2/3/20,0.0,0.0,0.0,99998.4592904568,3.5406981343336,10.000011408878626
2/4/20,0.0,0.0,0.0,99998.28674849657,3.713238816879005,10.000012686553791
2/5/20,0.0,0.0,0.0,99998.10578166792,3.894204305467981,10.000014026617555
2/6/20,0.0,0.0,0.0,99997.91597108003,4.084013487809254,10.000015432172205
2/7/20,0.0,0.0,0.0,99997.71687929497,4.283103798585363,10.00001690645741
2/8/20,0.0,0.0,0.0,99997.5080503277,4.491931219452656,10.000018452850224
2/9/20,0.0,0.0,0.0,99997.2890096461,4.710970279041294,10.000020074865082
2/10/20,0.0,0.0,0.0,99997.0592641709,4.940714052955246,10.000021776153801
2/11/20,0.0,0.0,0.0,99996.81830227573,5.181674163772295,10.000023560505577
2/12/20,0.0,0.0,0.0,99996.56559378712,5.434380781044032,10.000025431846993
2/13/20,0.0,0.0,0.0,99996.30058998447,5.699382621295859,10.000027394242009
2/14/20,0.0,0.0,0.0,99996.02271346301,5.977257085030642,10.00002945196726
2/15/20,0.0,0.0,0.0,99995.73112428536,6.268844103397885,10.000031611248744
2/16/20,0.0,0.0,0.0,99995.4251731275,6.5747929956084,10.000033876895966
2/17/20,0.0,0.0,0.0,99995.10429173423,6.895672012663194,10.000036253115494
2/18/20,0.0,0.0,0.0,99994.76785196019,7.232109295263271,10.000038744557889
2/19/20,0.0,0.0,0.0,99994.41516576988,7.5847928738096355,10.000041356317695
2/20/20,0.0,0.0,0.0,99994.04548523767,7.954470668403289,10.000044093933449
2/21/20,0.0,0.0,0.0,99993.65800254777,8.341950488845233,10.000046963387671
2/22/20,0.0,0.0,0.0,99993.25184999427,8.748100034636469,10.000049971106874
2/23/20,0.0,0.0,0.0,99992.82609998106,9.173846894977995,10.000053123961555
2/24/20,0.0,0.0,0.0,99992.37976502196,9.62017854877081,10.0000564292662
2/25/20,0.0,0.0,0.0,99991.91179774061,10.08814236461591,10.000059894779284
2/26/20,0.0,0.0,0.0,99991.42109087048,10.578845600814294,10.000063528703267
2/27/20,1.0,0.0,0.0,99990.90647725496,11.093455405366955,10.000067339684602
2/28/20,1.0,0.0,0.0,99990.36672984721,11.633198815974886,10.000071336813724
2/29/20,1.0,0.0,0.0,99989.80056171035,12.199362760039083,10.00007552962506
3/1/20,1.0,0.0,0.0,99989.20662601724,12.793294054660535,10.000079928097023
3/2/20,8.0,0.0,0.0,99988.58351605071,13.416399406640235,10.000084542652015
3/3/20,9.0,0.0,1.0,99987.92976520337,14.070145412479174,10.000089384156427
3/4/20,15.0,0.0,1.0,99987.24384697771,14.756058558378335,10.000094463920634
3/5/20,20.0,0.0,1.0,99986.52417498607,15.475725220238715,10.000099793699004
3/6/20,20.0,0.0,1.0,99985.76910295065,16.230791663661293,10.000105385689888
3/7/20,22.0,0.0,1.0,99984.97692470353,17.022964043947052,10.000111252535628
3/8/20,35.0,0.0,1.0,99984.14587418658,17.854008406096987,10.000117407322554
3/9/20,35.0,0.0,1.0,99983.27412545161,18.725750684812077,10.000123863580983
3/10/20,49.0,0.0,2.0,99982.35979266022,19.6400767044933,10.000130635285217
3/11/20,60.0,0.0,2.0,99981.40093008391,20.598932179241647,10.000137736853553
3/12/20,66.0,0.0,3.0,99980.395532104,21.604322712858085,10.00014518314827
3/13/20,75.0,0.0,5.0,99979.34153321169,22.658313798843608,10.000152989475637
3/14/20,71.0,4.0,5.0,99978.23679530298,23.76304352534629,10.000161171681125
3/15/20,92.0,4.0,5.0,99977.07757278038,24.922257461976887,10.000169757648107
3/16/20,98.0,4.0,7.0,99975.8608319744,26.138989255707056,10.00017876990248
3/17/20,98.0,4.0,7.0,99974.5845289945,27.4152827819718,10.000188223536938
3/18/20,104.0,4.0,11.0,99973.24635993943,28.75344192500524,10.000198135579632
3/19/20,104.0,4.0,11.0,99971.84376089717,30.156030577840628,10.000208524994157
3/20/20,126.0,4.0,14.0,99970.37390794502,31.62587264231035,10.000219412679556
3/21/20,120.0,4.0,20.0,99968.8337171495,33.1660520290459,10.000230821470318
3/22/20,151.0,4.0,20.0,99967.2198445664,34.77991265747793,10.000242776136385
3/23/20,163.0,4.0,20.0,99965.5286862408,36.4710584558362,10.000255303383145
3/24/20,162.0,4.0,21.0,99963.756378207,38.24335336114961,10.000268431851431
3/25/20,183.0,4.0,21.0,99961.89879648865,40.10092131924617,10.000282192117526
3/26/20,183.0,4.0,21.0,99959.95155709857,42.048146284753045,10.000296616693163
3/27/20,198.0,4.0,21.0,99957.91001603889,44.0896722210965,10.00031174002552
3/28/20,196.0,6.0,22.0,99955.769269301,46.23040310050195,10.000327598497224
3/29/20,196.0,6.0,22.0,99953.52415286559,48.47550290399393,10.00034423042635
3/30/20,192.0,13.0,25.0,99951.16924270254,50.8303956213961,10.000361676066424
3/31/20,197.0,13.0,26.0,99948.69885477106,53.300765251331256,10.000379977606412
4/1/20,197.0,13.0,26.0,99946.10704501961,55.89255580122132,10.000399179170737
4/2/20,194.0,21.0,30.0,99943.3876093859,58.61197128728733,10.000419326819264
4/3/20,194.0,21.0,30.0,99940.53408379691,61.465475734549486,10.000440468547309
4/4/20,200.0,27.0,32.0,99937.5397441689,64.45979317682708,10.000462654285634
4/5/20,199.0,35.0,32.0,99934.39760640736,67.60190765673852,10.00048593590045
4/6/20,199.0,35.0,32.0,99931.10042640711,70.89906322570141,10.000510367193417
4/7/20,205.0,40.0,34.0,99927.64070005217,74.35876394393242,10.000536003901642
4/8/20,205.0,40.0,34.0,99924.01066321586,77.98877388044737,10.000562903697677
4/9/20,250.0,49.0,34.0,99920.20229176075,81.79711711306122,10.000591126189528
4/10/20,260.0,50.0,34.0,99916.2073015387,85.79207772838804,10.000620732920645
4/11/20,268.0,53.0,35.0,99912.01714839079,89.982199821841,10.000651787369927
4/12/20,268.0,53.0,35.0,99907.62302814743,94.37628749763249,10.00068435495172
4/13/20,268.0,53.0,35.0,99903.01587662823,98.98340486877392,10.000718503015817
4/14/20,282.0,53.0,36.0,99898.18636964209,103.81287605707588,10.000754300847463
4/15/20,283.0,53.0,36.0,99893.12492298719,108.87428519314815,10.00079181966735
4/16/20,333.0,55.0,38.0,99887.82123731023,114.17793155356681,10.00083113621142
4/17/20,339.0,57.0,39.0,99882.25527113501,119.74385646143925,10.000872403546733
4/18/20,356.0,60.0,39.0,99876.4139726951,125.58511158580149,10.00091571910367
4/19/20,362.0,60.0,39.0,99870.28773772155,131.71130112563827,10.000961152816469
4/20/20,362.0,61.0,39.0,99863.86571610645,138.1332751094588,10.001008784095607
4/21/20,374.0,62.0,40.0,99857.13581190287,144.8631293952967,10.001058701827805
4/22/20,386.0,62.0,40.0,99850.08468332491,151.91420567071012,10.001111004376025
4/23/20,398.0,63.0,40.0,99842.69774274764,159.30109145278152,10.00116579957947
4/24/20,409.0,64.0,40.0,99834.95915670713,167.03962008811794,10.001223204753586
4/25/20,409.0,64.0,40.0,99826.85184590046,175.1468707528507,10.001283346690064
4/26/20,433.0,64.0,41.0,99818.35748518571,183.64116845263575,10.00134636165683
4/27/20,433.0,64.0,41.0,99809.45650358195,192.54208402265328,10.001412395398058
4/28/20,448.0,64.0,41.0,99800.12808426926,201.87043412760812,10.00148160313416
4/29/20,453.0,69.0,41.0,99790.35016458872,211.64828126172938,10.001554149561791
4/30/20,450.0,78.0,41.0,99780.09943604238,221.89893374877067,10.001630208853848
5/1/20,457.0,82.0,41.0,99769.35134429333,232.64694574201002,10.001709964659472
5/2/20,456.0,83.0,41.0,99758.08008916565,243.91811722424995,10.001793610104043
5/3/20,455.0,86.0,41.0,99746.2586246444,255.73949400781743,10.001881347789183
5/4/20,455.0,86.0,41.0,99733.85865887564,268.1393677345638,10.001973389792756
5/5/20,456.0,92.0,41.0,99720.85065416647,281.1472758758648,10.002069957668871
5/6/20,470.0,97.0,41.0,99707.20382698493,294.7940017326208,10.002171282447874
5/7/20,475.0,106.0,41.0,99692.8861479601,309.11157443525644,10.002277604636356
5/8/20,468.0,114.0,41.0,99677.86434188206,324.13326894372085,10.00238917421715
5/9/20,470.0,126.0,41.0,99662.10388770187,339.89360604748765,10.00250625064933
5/10/20,461.0,126.0,41.0,99645.56901853158,356.4283523655547,10.002629102868209
5/11/20,457.0,130.0,41.0,99628.22272164427,373.77452034644466,10.002758009285348
5/12/20,436.0,161.0,41.0,99610.02673847401,391.9703682682043,10.002893257788545
5/13/20,441.0,161.0,41.0,99590.94156461586,411.055400238405,10.003035145741842
5/14/20,435.0,172.0,41.0,99570.92644982587,431.0703661941426,10.003183979985522
5/15/20,422.0,189.0,41.0,99549.93939802113,452.0572619020371,10.003340076836112
5/16/20,414.0,198.0,41.0,99527.93716727968,474.05932895823344,10.003503762086376
5/17/20,412.0,201.0,41.0,99504.8752698406,497.12105478840033,10.003675371005325
5/18/20,410.0,203.0,41.0,99480.70797210393,521.2881726477318,10.00385524833821
5/19/20,403.0,211.0,41.0,99455.38829463076,546.6076616209455,10.004043748306524
5/20/20,395.0,220.0,41.0,99428.86801214311,573.1277466222839,10.004241234608
5/21/20,382.0,235.0,41.0,99401.08830114087,600.9072506750705,10.004448184066236
5/22/20,366.0,254.0,41.0,99371.96158100184,630.0337536254423,10.004665372711207
5/23/20,357.0,266.0,42.0,99341.43261181294,660.5624949973785,10.004893189687927
5/24/20,357.0,266.0,42.0,99309.44513381539,692.5497341627733,10.005132021846455
05/25/20,,,,99275.9376315361,726.0569861623902,10.005382301513361
05/26/20,,,,99240.84333378765,761.1510217058615,10.005644506491713
05/27/20,,,,99204.09021366826,797.9038671716888,10.005919160061087
