,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.81092647252,2.119714607614351,10.06935891985995
1/24/20,0.0,0.0,0.0,99999.61053595542,2.246594585897906,10.142869458682904
1/25/20,0.0,0.0,0.0,99999.39810864197,2.3810956376383134,10.22079572039209
1/26/20,0.0,0.0,0.0,99999.17289894134,2.5236897886563288,10.303411270003515
1/27/20,0.0,0.0,0.0,99998.9342160591,2.674814425815242,10.390969515077956
1/28/20,0.0,0.0,0.0,99998.68130169842,2.834949663589077,10.483748637979428
1/29/20,0.0,0.0,0.0,99998.41332790058,3.004619710083584,10.582052389334008
1/30/20,0.0,0.0,0.0,99998.12939704493,3.184392867036246,10.686210088029835
1/31/20,0.0,0.0,0.0,99997.82854184897,3.3748815298162747,10.796576621217103
2/1/20,0.0,0.0,0.0,99997.50972536826,3.5767421874246113,10.913532444308071
2/2/20,0.0,0.0,0.0,99997.17184099653,3.790675422493929,11.037483580977053
2/3/20,0.0,0.0,0.0,99996.81371246555,4.01742591128863,11.168861623160424
2/4/20,0.0,0.0,0.0,99996.43409384524,4.257782423704844,11.30812373105662
2/5/20,0.0,0.0,0.0,99996.0316695436,4.512577823270433,11.455752633126137
2/6/20,0.0,0.0,0.0,99995.60505430675,4.78268906714499,11.61225662609153
2/7/20,0.0,0.0,0.0,99995.15279321893,5.069037206119837,11.77816957493741
2/8/20,0.0,0.0,0.0,99994.67336170247,5.372587384618024,11.954050912910454
2/9/20,0.0,0.0,0.0,99994.16516551778,5.6943488406943334,12.140485641519394
2/10/20,0.0,0.0,0.0,99993.62654076342,6.035374906035276,12.338084330535024
2/11/20,0.0,0.0,0.0,99993.05575387605,6.3967630059590945,12.547483117990197
2/12/20,0.0,0.0,0.0,99992.45096514313,6.779677691828679,12.769357165046427
2/13/20,0.0,0.0,0.0,99991.80954191559,7.185784224143676,13.00467386026733
2/14/20,0.0,0.0,0.0,99991.12942394227,7.616386856714058,13.254189201016317
2/15/20,0.0,0.0,0.0,99990.4087068197,8.072691754367193,13.518601425942103
2/16/20,0.0,0.0,0.0,99989.64524536132,8.556057352339636,13.798697286349558
2/17/20,0.0,0.0,0.0,99988.83665359752,9.067994356277133,14.095352046199721
2/18/20,0.0,0.0,0.0,99987.98030477566,9.610165742234615,14.409529482109786
2/19/20,0.0,0.0,0.0,99987.07333135998,10.184386756676211,14.742281883353115
2/20/20,0.0,0.0,0.0,99986.11262503167,10.792624916475232,15.094750051859227
2/21/20,0.0,0.0,0.0,99985.09483668888,11.437000008914183,15.468163302213808
2/22/20,0.0,0.0,0.0,99984.01637644666,12.11978409168475,15.863839461658703
2/23/20,0.0,0.0,0.0,99982.87341363702,12.843401492887821,16.28318487009192
2/24/20,0.0,0.0,0.0,99981.6618768089,13.610428811033469,16.727694380067625
2/25/20,0.0,0.0,0.0,99980.37745372817,14.423594915040947,17.198951356796154
2/26/20,0.0,0.0,0.0,99979.01559137763,15.285780944238706,17.698627678144
2/27/20,0.0,0.0,0.0,99977.571495957,16.200020308364394,18.22848373463382
2/28/20,0.0,0.0,0.0,99976.04013288299,17.16949868756483,18.790368429444428
2/29/20,0.0,0.0,0.0,99974.4162267892,18.197554032396038,19.386219178410805
3/1/20,0.0,0.0,0.0,99972.69426152615,19.287676563823222,20.018061910024098
3/2/20,1.0,0.0,0.0,99970.86848016136,20.443508773220778,20.688011065431606
3/3/20,2.0,0.0,0.0,99968.9328849792,21.6688454223723,21.398269598436798
3/4/20,4.0,0.0,0.0,99966.88123748104,22.967633543470555,22.151128975499297
3/5/20,4.0,0.0,0.0,99964.70705838515,24.343972439117515,22.948969175734902
3/6/20,4.0,0.0,0.0,99962.40362762676,25.802113682324325,23.79425869091556
3/7/20,4.0,0.0,0.0,99959.96398435802,27.34646111651134,24.689554525469383
