,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.98458243055,2.015417549373102,10.000000020076989
1/24/20,0.0,0.0,0.0,99999.96904601295,2.030953946744172,10.000000040308747
1/25/20,0.0,0.0,0.0,99999.95338983108,2.046610108229565,10.000000060696467
1/26/20,0.0,0.0,0.0,99999.9376129563,2.06238696245946,10.000000081241359
1/27/20,0.0,0.0,0.0,99999.92171444812,2.0782854499418595,10.000000101944647
1/28/20,0.0,0.0,0.0,99999.90569337402,2.0943065031796535,10.000000122807544
1/29/20,0.0,0.0,0.0,99999.88954879409,2.110451062089026,10.000000143831278
1/30/20,0.0,0.0,0.0,99999.8732797603,2.126720074684964,10.00000016501708
1/31/20,0.0,0.0,0.0,99999.85688531656,2.143114497081258,10.000000186366195
2/1/20,0.0,0.0,0.0,99999.84036449864,2.1596352934905,10.000000207879882
2/2/20,0.0,0.0,0.0,99999.82371633423,2.1762834362240855,10.000000229559406
2/3/20,0.0,0.0,0.0,99999.8069398429,2.193059905692212,10.00000025140604
2/4/20,0.0,0.0,0.0,99999.79003403618,2.209965690403881,10.000000273421078
2/5/20,0.0,0.0,0.0,99999.77299791743,2.2270017869668965,10.000000295605814
2/6/20,0.0,0.0,0.0,99999.75583048195,2.244169200087864,10.000000317961556
2/7/20,0.0,0.0,0.0,99999.73853071695,2.2614689425721926,10.000000340489622
2/8/20,0.0,0.0,0.0,99999.72109760149,2.2789020353240947,10.000000363191345
2/9/20,0.0,0.0,0.0,99999.70353010659,2.296469507346585,10.000000386068063
2/10/20,0.0,0.0,0.0,99999.68582719515,2.3141723957414806,10.000000409121128
2/11/20,0.0,0.0,0.0,99999.66798782194,2.332011745709402,10.000000432351898
2/12/20,0.0,0.0,0.0,99999.65001093369,2.3499886105497723,10.000000455761748
2/13/20,0.0,0.0,0.0,99999.63189546899,2.3681040516608163,10.00000047935206
2/14/20,0.0,0.0,0.0,99999.61364035834,2.3863591385395635,10.000000503124227
2/15/20,0.0,0.0,0.0,99999.59524452414,2.404754948781845,10.00000052707965
2/16/20,0.0,0.0,0.0,99999.5767068807,2.4232925680822945,10.000000551219744
2/17/20,0.0,0.0,0.0,99999.55802633423,2.441973090234349,10.000000575545933
2/18/20,0.0,0.0,0.0,99999.53920178281,2.4607976171302477,10.000000600059654
2/19/20,0.0,0.0,0.0,99999.52023211648,2.4797672587610333,10.00000062476235
2/20/20,0.0,0.0,0.0,99999.50111621713,2.498883133216551,10.00000064965548
2/21/20,0.0,0.0,0.0,99999.48185295858,2.518146366685448,10.000000674740509
2/22/20,0.0,0.0,0.0,99999.46244120653,2.5375580934551754,10.000000700018912
2/23/20,0.0,0.0,0.0,99999.4428798186,2.5571194559119865,10.000000725492182
2/24/20,0.0,0.0,0.0,99999.42316760727,2.576831641584318,10.000000751161862
2/25/20,0.0,0.0,0.0,99999.40330210708,2.596697115901467,10.000000777031165
2/26/20,0.0,0.0,0.0,99999.38328163484,2.6167175620638017,10.000000803102283
2/27/20,0.0,0.0,0.0,99999.36310519182,2.636893978816397,10.00000082937652
2/28/20,0.0,0.0,0.0,99999.34277176374,2.657227380411569,10.000000855855193
2/29/20,0.0,0.0,0.0,99999.32228032086,2.677718796608881,10.000000882539645
3/1/20,0.0,0.0,0.0,99999.3016298179,2.6983692726751385,10.000000909431236
3/2/20,0.0,0.0,0.0,99999.28081919409,2.7191798693843907,10.000000936531348
3/3/20,0.0,0.0,0.0,99999.25984737315,2.7401516630179326,10.000000963841382
3/4/20,0.0,0.0,0.0,99999.23871326329,2.761285745364302,10.00000099136276
3/5/20,0.0,0.0,0.0,99999.21741575719,2.782583223719281,10.000001019096926
3/6/20,0.0,0.0,0.0,99999.19595373208,2.8040452208858966,10.000001047045338
3/7/20,0.0,0.0,0.0,99999.17432604963,2.8256728751744187,10.00000107520948
3/8/20,0.0,0.0,0.0,99999.15253155601,2.8474673404023623,10.000001103590856
3/9/20,0.0,0.0,0.0,99999.13056908193,2.869429785894486,10.000001132190988
3/10/20,0.0,0.0,0.0,99999.10843744251,2.891561396482793,10.000001161011417
3/11/20,0.0,0.0,0.0,99999.08613543745,2.9138633725065297,10.000001190053709
3/12/20,0.0,0.0,0.0,99999.06366185087,2.936336929812187,10.000001219319444
3/13/20,0.0,0.0,0.0,99999.04101545144,2.958983299753501,10.000001248810229
3/14/20,2.0,0.0,0.0,99999.01819499228,2.9818037291914496,10.000001278527685
3/15/20,2.0,0.0,0.0,99998.99519921104,3.0047994804942575,10.000001308473458
3/16/20,3.0,0.0,0.0,99998.97202682983,3.027971831537391,10.000001338649211
3/17/20,4.0,0.0,0.0,99998.94867655524,3.051322075703562,10.000001369056628
3/18/20,4.0,0.0,0.0,99998.92514707842,3.074851521882726,10.000001399697416
3/19/20,6.0,0.0,0.0,99998.90143707496,3.0985614944720834,10.000001430573295
3/20/20,7.0,0.0,0.0,99998.87754520494,3.1224533333760776,10.000001461686015
3/21/20,7.0,0.0,0.0,99998.85347011297,3.1465283940063964,10.000001493037338
3/22/20,7.0,0.0,0.0,99998.8292104281,3.170788047281972,10.00000152462905
3/23/20,7.0,0.0,0.0,99998.80476476392,3.195233679628981,10.000001556462957
3/24/20,7.0,0.0,0.0,99998.78013171848,3.2198666929808426,10.000001588540885
3/25/20,7.0,0.0,0.0,99998.75530987437,3.2446885047782223,10.00000162086468
3/26/20,7.0,0.0,0.0,99998.7302977986,3.2697005479690278,10.000001653436206
3/27/20,7.0,0.0,0.0,99998.70509404274,3.294904271008412,10.00000168625735
3/28/20,8.0,0.0,0.0,99998.67969714281,3.3203011378587717,10.000001719330022
3/29/20,8.0,0.0,0.0,99998.65410561937,3.3458926279897474,10.000001752656145
3/30/20,8.0,0.0,0.0,99998.62831797739,3.371680236378224,10.000001786237668
3/31/20,10.0,0.0,0.0,99998.60233270642,3.3976654735083307,10.000001820076557
4/1/20,10.0,0.0,0.0,99998.57614828047,3.42384986537144,10.0000018541748
4/2/20,10.0,0.0,0.0,99998.54976315801,3.4502349534661696,10.000001888534403
4/3/20,10.0,0.0,0.0,99998.52317578206,3.4768222947983807,10.000001923157395
4/4/20,10.0,0.0,0.0,99998.49638458008,3.503613461881179,10.000001958045825
4/5/20,10.0,0.0,0.0,99998.46938796407,3.530610042734913,10.00000199320176
4/6/20,11.0,0.0,0.0,99998.44218433049,3.557813640887178,10.00000202862729
4/7/20,11.0,0.0,0.0,99998.4147720603,3.58522587537281,10.00000206432452
4/8/20,11.0,0.0,0.0,99998.38714951898,3.612848380733891,10.000002100295582
4/9/20,11.0,0.0,0.0,99998.35931505644,3.640682807019748,10.000002136542623
4/10/20,11.0,0.0,0.0,99998.33126700715,3.6687308197869504,10.000002173067813
4/11/20,11.0,0.0,0.0,99998.30300369003,3.696994100099312,10.000002209873342
4/12/20,11.0,0.0,0.0,99998.27452340852,3.725474344527891,10.000002246961419
4/13/20,11.0,0.0,0.0,99998.24582445053,3.7541732651509907,10.000002284334274
4/14/20,11.0,0.0,0.0,99998.21690508845,3.783092589554156,10.000002321994156
4/15/20,11.0,0.0,0.0,99998.18776357923,3.8122340608301784,10.000002359943336
4/16/20,11.0,0.0,0.0,99998.15839816425,3.8415994375790925,10.000002398184105
4/17/20,6.0,5.0,0.0,99998.12880706938,3.871190493908177,10.000002436718772
4/18/20,6.0,5.0,0.0,99998.09898850502,3.901009019431955,10.00000247554967
4/19/20,6.0,5.0,0.0,99998.06894066605,3.931056819272192,10.000002514679148
4/20/20,6.0,5.0,0.0,99998.03866173184,3.961335714057901,10.000002554109576
4/21/20,6.0,5.0,0.0,99998.00814986623,3.9918475399253355,10.00000259384335
4/22/20,6.0,5.0,0.0,99997.9774032176,4.022594148517996,10.000002633882877
4/23/20,5.0,6.0,0.0,99997.9464199188,4.053577406986625,10.000002674230592
4/24/20,5.0,6.0,0.0,99997.91519808712,4.084799197989209,10.000002714888945
4/25/20,5.0,6.0,0.0,99997.88373582445,4.116261419690983,10.00000275586041
4/26/20,5.0,6.0,0.0,99997.8520312171,4.147965985764419,10.000002797147477
4/27/20,5.0,6.0,0.0,99997.82008233586,4.179914825389239,10.00000283875266
4/28/20,5.0,6.0,0.0,99997.78788723607,4.212109883252405,10.000002880678492
4/29/20,5.0,6.0,0.0,99997.75544395753,4.244553119548127,10.000002922927527
4/30/20,5.0,6.0,0.0,99997.72275052452,4.2772465099778545,10.000002965502334
5/1/20,5.0,6.0,0.0,99997.68980494585,4.310192045750286,10.000003008405512
5/2/20,5.0,6.0,0.0,99997.65660521478,4.343391733581361,10.00000305163967
5/3/20,5.0,6.0,0.0,99997.6231493091,4.376847595694264,10.000003095207445
5/4/20,5.0,6.0,0.0,99997.58943519108,4.4105616698194225,10.00000313911149
