,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.81910567403,2.125022257076952,10.055872068899058
1/24/20,0.0,0.0,0.0,99999.62690385043,2.2578594018481306,10.115236747725396
1/25/20,0.0,0.0,0.0,99999.42264385594,2.3990302074262284,10.178325936637195
1/26/20,0.0,0.0,0.0,99999.20555184323,2.549069463765208,10.245378693013848
1/27/20,0.0,0.0,0.0,99998.97490195722,2.708478834083575,10.316619208710268
1/28/20,0.0,0.0,0.0,99998.72989414894,2.877811248667798,10.392294602391676
1/29/20,0.0,0.0,0.0,99998.4696524292,3.0576721110732583,10.472675459748546
1/30/20,0.0,0.0,0.0,99998.19322486839,3.248719298124251,10.558055833496605
1/31/20,0.0,0.0,0.0,99997.89958359672,3.451663159913985,10.648753243376829
2/1/20,0.0,0.0,0.0,99997.58762480404,3.6672665198045813,10.745108676155448
2/2/20,0.0,0.0,0.0,99997.25616873996,3.896344674427076,10.84748658562394
2/3/20,0.0,0.0,0.0,99996.90395971373,4.139765393681417,10.956274892599035
2/4/20,0.0,0.0,0.0,99996.52966609436,4.398448920736467,11.071884984922718
2/5/20,0.0,0.0,0.0,99996.13188031051,4.6733679720299985,11.194751717462221
2/6/20,0.0,0.0,0.0,99995.70911885063,4.965547737268704,11.325333412110028
2/7/20,0.0,0.0,0.0,99995.2598222628,5.276065879428183,11.464111857783877
2/8/20,0.0,0.0,0.0,99994.78235515484,5.606052534752951,11.611592310426753
2/9/20,0.0,0.0,0.0,99994.27500619425,5.956690312756438,11.768303493006897
2/10/20,0.0,0.0,0.0,99993.73598810827,6.329214296220984,11.9347975955178
2/11/20,0.0,0.0,0.0,99993.16343768383,6.724912041197846,12.111650274978201
2/12/20,0.0,0.0,0.0,99992.55484063168,7.145520232545268,12.29963913578788
2/13/20,0.0,0.0,0.0,99991.90778673142,7.592704030734675,12.49950923786637
2/14/20,0.0,0.0,0.0,99991.22033454526,8.06780556092791,12.711859893836293
2/15/20,0.0,0.0,0.0,99990.4902791465,8.572348897020838,12.937371956498152
2/16/20,0.0,0.0,0.0,99989.71515210171,9.108040073938902,13.176807824363966
2/17/20,0.0,0.0,0.0,99988.89222147073,9.676767087637126,13.43101144165725
2/18/20,0.0,0.0,0.0,99988.01849180661,10.28059989510011,13.700908298313038
2/19/20,0.0,0.0,0.0,99987.0907041557,10.921790414342038,13.987505429977867
2/20/20,0.0,0.0,0.0,99986.1053360576,11.60277252440667,14.291891418009785
2/21/20,0.0,0.0,0.0,99985.05860154517,12.326162065367345,14.615236389478346
2/22/20,0.0,0.0,0.0,99983.94645114453,13.094756838326987,14.958792017164617
2/23/20,0.0,0.0,0.0,99982.76457187504,13.911536605418092,15.323891519561169
2/24/20,0.0,0.0,0.0,99981.50838724934,14.779663089802739,15.711949660872083
2/25/20,0.0,0.0,0.0,99980.17305727334,15.70247997567259,16.12446275101295
2/26/20,0.0,0.0,0.0,99978.75347844616,16.683512908248883,16.563008645610864
2/27/20,0.0,0.0,0.0,99977.24428376023,17.726469493782425,17.02924674600444
2/28/20,0.0,0.0,0.0,99975.63984270122,18.835239299553635,17.524917999243787
2/29/20,0.0,0.0,0.0,99973.93426124805,20.013893853872467,18.05184489809053
3/1/20,0.0,0.0,0.0,99972.12138187292,21.26668664607849,18.611931481017802
3/2/20,0.0,0.0,0.0,99970.19478354127,22.598053126540833,19.207163332210243
3/3/20,0.0,0.0,0.0,99968.1477817118,24.012610706658215,19.839607581564003
3/4/20,0.0,0.0,0.0,99965.97342833647,25.515158758858938,20.511412904686743
3/5/20,0.0,0.0,0.0,99963.66451186052,27.110678616600858,21.224809522897623
3/6/20,1.0,0.0,0.0,99961.21244980878,28.805092310497344,21.982457880751245
3/7/20,1.0,0.0,0.0,99958.60459796348,30.607108953388266,22.788293083148115
3/8/20,3.0,0.0,0.0,99955.8330364677,32.52220739410721,23.644756138224274
3/9/20,3.0,0.0,0.0,99952.88949826738,34.556108273953555,24.55439345869227
3/10/20,7.0,0.0,0.0,99949.7645777697,36.71531601413301,25.52010621619293
3/11/20,10.0,0.0,0.0,99946.44773084296,39.007118815757636,26.54515034129532
3/12/20,16.0,0.0,0.0,99942.92727481668,41.439588659845846,27.63313652349677
3/13/20,32.0,0.0,0.0,99939.19038848148,44.02158130732241,28.78803021122288
3/14/20,44.0,0.0,0.0,99935.22311208918,46.76273629901842,30.014151611827486
