,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.87479725874,2.1120248887261455,10.01317785253176
1/24/20,0.0,0.0,0.0,99999.74258179998,2.2303243737530183,10.027093826280788
1/25/20,0.0,0.0,0.0,99999.60293595401,2.3552721579049583,10.041791888086133
1/26/20,0.0,0.0,0.0,99999.45542277947,2.487259186370395,10.057318034168558
1/27/20,0.0,0.0,0.0,99999.29964590193,2.626640114471123,10.073713983600983
1/28/20,0.0,0.0,0.0,99999.13517297652,2.7738017807802633,10.091025242713645
1/29/20,0.0,0.0,0.0,99998.96153379875,2.929164897118736,10.109301304146744
1/30/20,0.0,0.0,0.0,99998.77822030461,3.09318404855526,10.128595646850446
1/31/20,0.0,0.0,0.0,99998.58468657052,3.2663476934063533,10.148965736084879
2/1/20,0.0,0.0,0.0,99998.38034881336,3.44917816323633,10.170473023420135
2/2/20,0.0,0.0,0.0,99998.16458539042,3.6422316628573057,10.193182946736272
2/3/20,0.0,0.0,0.0,99997.93673679946,3.8460982703291933,10.217164930223309
2/4/20,0.0,0.0,0.0,99997.69610567867,4.061401936959703,10.242492384381233
2/5/20,0.0,0.0,0.0,99997.44195680668,4.288800487304345,10.269242706019991
2/6/20,0.0,0.0,0.0,99997.17351710258,4.528985619166429,10.297497278259499
2/7/20,0.0,0.0,0.0,99996.88997562588,4.782682903597061,10.32734147052963
2/8/20,0.0,0.0,0.0,99996.59048357654,5.050651784895145,10.358864638570227
2/9/20,0.0,0.0,0.0,99996.27415429497,5.333685580607387,10.392160124431095
2/10/20,0.0,0.0,0.0,99995.94006326201,5.632611481528288,10.427325256472002
2/11/20,0.0,0.0,0.0,99995.58724809895,5.9482905517001505,10.464461349362683
2/12/20,0.0,0.0,0.0,99995.21470856751,6.281617728413073,10.503673704082832
2/13/20,0.0,0.0,0.0,99994.82140656988,6.633521822204953,10.545071607922111
2/14/20,0.0,0.0,0.0,99994.40591931455,7.005275712530544,10.588804972922635
2/15/20,0.0,0.0,0.0,99993.96685894758,7.398121064499947,10.635019987927812
2/16/20,0.0,0.0,0.0,99993.50317865977,7.812994561523741,10.683826778707152
2/17/20,0.0,0.0,0.0,99993.01370012792,8.250950538494273,10.7353493335953
2/18/20,0.0,0.0,0.0,99992.49711319871,8.713161264412602,10.78972553687737
2/19/20,0.0,0.0,0.0,99991.95197588882,9.200916942388508,10.847107168788936
2/20/20,0.0,0.0,0.0,99991.37671438485,9.715625709640486,10.90765990551604
2/21/20,0.0,0.0,0.0,99990.7696230433,10.258813637495747,10.97156331919518
2/22/20,0.0,0.0,0.0,99990.1288643907,10.832124731390216,11.039010877913327
2/23/20,0.0,0.0,0.0,99989.45246912343,11.437320930868538,11.110209945707906
2/24/20,0.0,0.0,0.0,99988.73833610785,12.076282109584074,11.185381782566813
2/25/20,0.0,0.0,0.0,99987.98423238027,12.751006075298893,11.264761544428403
2/26/20,0.0,0.0,0.0,99987.18779314694,13.463608569883792,11.348598283181495
2/27/20,0.0,0.0,0.0,99986.34652178403,14.216323269318277,11.437154946665373
2/28/20,0.0,0.0,0.0,99985.45778983764,15.011501783690575,11.530708378669784
2/29/20,0.0,0.0,0.0,99984.51883702388,15.851613657197623,11.629549318934938
3/1/20,0.0,0.0,0.0,99983.5267712287,16.739246368145082,11.733982403151508
3/2/20,0.0,0.0,0.0,99982.4785685081,17.67710532894731,11.844326162960632
3/3/20,0.0,0.0,0.0,99981.37107308792,18.66801388612741,11.96091302595391
3/4/20,0.0,0.0,0.0,99980.20099736401,19.714913320317184,12.084089315673406
3/5/20,0.0,0.0,0.0,99978.96492190214,20.82086284625715,12.214215251611646
3/6/20,0.0,0.0,0.0,99977.659295438,21.98903961279655,12.351664949211623
3/7/20,0.0,0.0,0.0,99976.28043487725,23.222738702893334,12.49682641986679
3/8/20,0.0,0.0,0.0,99974.82452529547,24.525373133614167,12.650101570921066
3/9/20,0.0,0.0,0.0,99973.2876199382,25.900473856134447,12.811906205668834
3/10/20,0.0,0.0,0.0,99971.6656402209,27.35168975573826,12.982670023354933
3/11/20,0.0,0.0,0.0,99969.95297846025,28.88403559323023,13.162985946525625
3/12/20,0.0,0.0,0.0,99968.14246407402,30.503922721626793,13.353613204372866
3/13/20,0.0,0.0,0.0,99966.23003145885,32.21499023065594,13.554978310502392
3/14/20,0.0,0.0,0.0,99964.21117343375,34.021272124929645,13.767554441325657
3/15/20,0.0,0.0,0.0,99962.08079712903,35.927326025666,13.991876845315575
3/16/20,1.0,0.0,0.0,99959.83322398631,37.938233170689244,14.22854284300652
3/17/20,1.0,0.0,0.0,99957.46218975859,40.05959841442974,14.478211826994329
3/18/20,1.0,0.0,0.0,99954.96084451015,42.297550227924006,14.741605261936293
3/19/20,1.0,0.0,0.0,99952.32175261664,44.658740698814654,15.019506684551168
3/20/20,1.0,0.0,0.0,99949.53689276504,47.15034553135045,15.312761703619167
3/21/20,1.0,0.0,0.0,99946.59765795364,49.7800640463863,15.62227799998196
3/22/20,1.0,0.0,0.0,99943.49485549208,52.55611918138324,15.949025326542685
3/23/20,1.0,0.0,0.0,99940.21870700133,55.48725749040841,16.29403550826593
3/24/20,1.0,0.0,0.0,99936.7588484137,58.58274914413511,16.658402442177756
