,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.48046948772,2.384921249423314,10.134609262854553
1/24/20,0.0,0.0,0.0,99998.86090934725,2.843953724469978,10.295136928281401
1/25/20,0.0,0.0,0.0,99998.12181166383,3.3915501127970047,10.48663822337024
1/26/20,0.0,0.0,0.0,99997.24121252313,4.043983085348762,10.714804391513203
1/27/20,0.0,0.0,0.0,99996.19170631886,4.821556442289285,10.986737238849468
1/28/20,0.0,0.0,0.0,99994.93974872064,5.749121259004571,11.311130020346472
1/29/20,0.0,0.0,0.0,99993.4456566741,6.85607588610257,11.698267439799892
1/30/20,0.0,0.0,0.0,99991.66360840075,8.176365949413182,12.160025649833665
1/31/20,0.0,0.0,0.0,99989.53787334276,9.751272619342545,12.71085403788288
2/1/20,1.0,0.0,0.0,99987.00432753144,11.628298352191878,13.367374116360136
2/2/20,1.0,0.0,0.0,99983.98983799723,13.861626652853257,14.148535349910834
2/3/20,1.0,0.0,0.0,99980.39939049918,16.52164005092265,15.078969449881425
2/4/20,1.0,0.0,0.0,99976.11587568093,19.69507822002331,16.189046099036748
2/5/20,1.0,0.0,0.0,99971.00008907063,23.485037977805817,17.514872951560022
2/6/20,1.0,0.0,0.0,99964.89073108099,28.01097328594804,19.09829563305286
2/7/20,1.0,0.0,0.0,99957.6044070093,33.408695250155134,20.98689774053525
2/8/20,1.0,0.0,0.0,99948.92188866435,39.840474110168735,23.237637225466045
2/9/20,2.0,0.0,0.0,99938.56928495082,47.509013683216175,25.92170136594602
2/10/20,2.0,0.0,0.0,99926.25932204071,56.627218902585085,29.113459056693888
2/11/20,2.0,0.0,0.0,99911.61383088825,67.47511005765848,32.91105905407586
2/12/20,2.0,0.0,0.0,99894.15787440324,80.40413634663906,37.43798925010475
2/13/20,2.0,0.0,0.0,99873.319747451,95.83717587654908,42.843076672440034
2/14/20,2.0,0.0,0.0,99848.43097685237,114.26853566323044,49.30048748438779
2/15/20,0.0,2.0,0.0,99818.72632138374,136.26395163134475,57.00972698490069
2/16/20,0.0,2.0,0.0,99783.34377177704,162.4605886143731,66.19563960857808
2/17/20,0.0,2.0,0.0,99741.21670714772,193.64413764015376,77.13915521212489
2/18/20,0.0,2.0,0.0,99691.07264841939,230.75425810811183,90.17309347249048
2/19/20,0.0,2.0,0.0,99631.49267063169,274.8429314586841,105.66439790961536
2/20/20,0.0,2.0,0.0,99560.64477067262,327.26260578533476,124.09262354203696
2/21/20,0.0,2.0,0.0,99476.27981957259,389.6690633937845,146.05111703361248
2/22/20,0.0,2.0,0.0,99375.73156250446,464.0214208020103,172.247016693519
2/23/20,0.0,2.0,0.0,99255.91661878349,552.5821287402462,203.50125247625334
2/24/20,0.0,2.0,0.0,99113.33448186738,657.9169721509818,240.7485459816321
2/25/20,4.0,2.0,0.0,98944.06743326777,782.8950952331255,285.0374714990826
2/26/20,11.0,2.0,0.0,98743.46046664668,930.8556685318662,337.68386482145195
2/27/20,13.0,2.0,0.0,98505.78991966714,1106.0039652719424,400.2061150609113
2/28/20,30.0,2.0,0.0,98224.27120737052,1313.3488667249628,474.37992590451233
2/29/20,43.0,2.0,0.0,97890.88520860912,1558.706850045663,562.4079413452014
3/1/20,82.0,2.0,0.0,97496.37826604626,1848.701988271906,666.9197456818199
3/2/20,118.0,2.0,0.0,97030.2621861562,2190.76595032468,790.9718635191041
3/3/20,162.0,2.0,1.0,96480.8142392242,2593.138001008103,938.0477597676849
3/4/20,218.0,2.0,2.0,95835.07715934647,3064.8650010094175,1112.057839644088
3/5/20,254.0,2.0,3.0,95079.02514419315,3615.646213284572,1317.3286425222782
3/6/20,393.0,2.0,5.0,94200.52501424367,4252.87220127096,1558.6027844853616
3/7/20,460.0,30.0,10.0,93178.06174792282,4991.715514867513,1842.2227372096509
3/8/20,626.0,30.0,17.0,91988.45122585347,5848.208985055013,2175.3397890915217
3/9/20,1013.0,32.0,28.0,90610.98427267346,6835.443736565526,2565.5719907610064
3/10/20,1628.0,32.0,35.0,89027.4266570358,7963.569187882397,3021.0041550817946
3/11/20,2040.0,183.0,54.0,87222.01909160851,9239.793051240254,3550.1878571512343
