,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.83997642479,2.1094081108716147,10.050615464332596
1/24/20,0.0,0.0,0.0,99999.67119922162,2.224800989021509,10.103999789368366
1/25/20,0.0,0.0,0.0,99999.49316005602,2.346526153526764,10.160313790450267
1/26/20,0.0,0.0,0.0,99999.30532570941,2.474948131365112,10.219726159217219
1/27/20,1.0,0.0,0.0,99999.10721311308,2.610397196803078,10.28238969011764
1/28/20,1.0,0.0,0.0,99998.89829687694,2.7532325534082123,10.348470569649864
1/29/20,1.0,0.0,0.0,99998.67800681299,2.90384402614863,10.418149160856931
1/30/20,1.0,0.0,0.0,99998.44572793528,3.062652061393012,10.491620003326586
1/31/20,1.0,0.0,0.0,99998.20080045989,3.2301077269106027,10.569091813191276
2/1/20,1.0,0.0,0.0,99997.942519805,3.406692711871213,10.65078748312816
2/2/20,1.0,0.0,0.0,99997.6701365908,3.5929193268452164,10.736944082359095
2/3/20,1.0,0.0,0.0,99997.38285663954,3.789330503803553,10.827812856650649
2/4/20,1.0,0.0,0.0,99997.07984097557,3.9964997961177273,10.923659228314088
2/5/20,1.0,0.0,0.0,99996.76020582524,4.215031378559807,11.024762796205392
2/6/20,1.0,0.0,0.0,99996.42302261697,4.445560047302427,11.131417335725239
2/7/20,1.0,0.0,0.0,99996.06731798126,4.688751219918785,11.243930798819015
2/8/20,0.0,1.0,0.0,99995.69207375064,4.945300935382644,11.36262531397681
2/9/20,0.0,1.0,0.0,99995.29622695969,5.215935854068334,11.487837186233424
2/10/20,0.0,1.0,0.0,99994.87866984507,5.5014132577507455,11.619916897168354
2/11/20,0.0,1.0,0.0,99994.43824984548,5.802521049605338,11.759229104905808
2/12/20,0.0,1.0,0.0,99993.97376960168,6.1200777542081335,11.906152644114695
2/13/20,0.0,1.0,0.0,99993.48398695646,6.454932517535718,12.061080526008634
2/14/20,0.0,1.0,0.0,99992.96736698554,6.8081342738592525,12.224498740589548
2/15/20,0.0,1.0,0.0,99992.42207173308,7.180938811669536,12.396989455258003
2/16/20,0.0,1.0,0.0,99991.84684214598,7.574207154907137,12.578950699110623
2/17/20,0.0,1.0,0.0,99991.24029740873,7.988883533056586,12.770819058214242
2/18/20,0.0,1.0,0.0,99990.60090295077,8.426017205776613,12.973079843443571
2/19/20,0.0,1.0,0.0,99989.92697044661,8.886762462900151,13.186267090481191
2/20/20,0.0,1.0,0.0,99989.21665781575,9.372378624434331,13.41096355981755
2/21/20,0.0,1.0,0.0,99988.46796922268,9.884230040560482,13.647800736750968
2/22/20,0.0,1.0,0.0,99987.67875507698,10.42378609163414,13.89745883138764
2/23/20,0.0,1.0,0.0,99986.84671203316,10.992621188185034,14.160666778641627
2/24/20,0.0,1.0,0.0,99985.96938299085,11.592414770917095,14.438202238234863
2/25/20,0.0,1.0,0.0,99985.04415709458,12.224951310708455,14.730891594697155
2/26/20,0.0,1.0,0.0,99984.06826973402,12.892120308611446,15.039609957366174
2/27/20,0.0,1.0,0.0,99983.03880254376,13.595916295852604,15.365281160387472
2/28/20,0.0,1.0,0.0,99981.95268340345,14.338438833832654,15.708877762714462
2/29/20,0.0,1.0,0.0,99980.80668643776,15.121892514126529,16.071421048108434
3/1/20,0.0,1.0,0.0,99979.59743201638,15.948586958483368,16.453981025138546
3/2/20,0.0,1.0,0.0,99978.32138675399,16.820936818826496,16.85767642718183
3/3/20,0.0,1.0,0.0,99976.97486351032,17.741461777253445,17.28367471242318
3/4/20,0.0,1.0,0.0,99975.55402139011,18.712786546035954,17.73319206385538
3/5/20,0.0,1.0,0.0,99974.05486574309,19.737640867619948,18.207493389279065
3/6/20,0.0,1.0,0.0,99972.47324816407,20.818859514625565,18.70789232130275
3/7/20,0.0,1.0,0.0,99970.8048664928,21.959382289847134,19.23575121734282
3/8/20,0.0,1.0,0.0,99969.04526481412,23.16225402625319,19.792481159623527
3/9/20,0.0,1.0,0.0,99967.18983345783,24.43062458698646,20.379541955177004
3/10/20,0.0,1.0,0.0,99965.23380899879,25.767748865363888,20.998442135843238
3/11/20,1.0,1.0,0.0,99963.17218927808,27.17704436669824,21.650766355225777
3/12/20,1.0,1.0,0.0,99960.99652403116,28.664266828190087,22.33920914065462
3/13/20,5.0,1.0,0.0,99958.70037299124,30.23381409188082,23.065812916877128
3/14/20,9.0,1.0,0.0,99956.27869258271,31.88914021929141,23.83216719800657
3/15/20,17.0,1.0,0.0,99953.72577778692,33.634149700734326,24.640072512343572
3/16/20,27.0,1.0,0.0,99951.03526214231,35.47319745531355,25.491540402376124
3/17/20,43.0,1.0,0.0,99948.2001177443,37.41108883092457,26.388793424779564
3/18/20,50.0,1.0,0.0,99945.21265524533,39.45307960425439,27.33426515041659
3/19/20,57.0,3.0,0.0,99942.06452385488,41.60487598078152,28.330600164337262
3/20/20,70.0,3.0,0.0,99938.74671133945,43.872634594775974,29.380654065778987
3/21/20,76.0,1.0,0.0,99935.24954402253,46.26296250929927,30.487493468166534
3/22/20,79.0,3.0,0.0,99931.56268678469,48.78291721620447,31.654395999112033
3/23/20,94.0,3.0,0.0,99927.67514306345,51.440006636136076,32.88485030041496
3/24/20,100.0,2.0,0.0,99923.57525485341,54.242189118530185,34.18255602806216
3/25/20,99.0,3.0,0.0,99919.25070270617,57.19787344161433,35.55142385222782
3/26/20,99.0,7.0,0.0,99914.68850573032,60.31591881240759,36.995575457273496
