,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.79667315018,2.176745571315994,10.026581278502372
1/24/20,0.0,0.0,0.0,99999.5753783359,2.3691100619233536,10.055511602182419
1/25/20,0.0,0.0,0.0,99999.33444267802,2.5785476201704323,10.087009701797628
1/26/20,0.0,0.0,0.0,99999.07217525337,2.8065280921133406,10.121296654511477
1/27/20,0.0,0.0,0.0,99998.78682322618,3.054575156664505,10.158601617139535
1/28/20,0.0,0.0,0.0,99998.47639324659,3.324421550993976,10.199185202416619
1/29/20,0.0,0.0,0.0,99998.13865143331,3.6180090854354128,10.243339481241815
1/30/20,0.0,0.0,0.0,99997.77112337382,3.9374886434860907,10.291387982678476
1/31/20,1.0,0.0,0.0,99997.37109412423,4.2852201818068965,10.343685693954225
2/1/20,1.0,0.0,0.0,99996.93560820931,4.663772730222327,10.400619060460947
2/2/20,1.0,0.0,0.0,99996.46146962252,5.075924391720495,10.462605985754804
2/3/20,1.0,0.0,0.0,99995.94524182598,5.524662342453125,10.530095831556213
2/4/20,1.0,0.0,0.0,99995.3832477505,6.01318283173555,10.60356941774987
2/5/20,1.0,0.0,0.0,99994.77156979556,6.5448911820467215,10.683539022384732
2/6/20,1.0,0.0,0.0,99994.10604597084,7.1234051409946,10.770548888162153
2/7/20,1.0,0.0,0.0,99993.38123706386,7.753452162394511,10.865310773729803
2/8/20,1.0,0.0,0.0,99992.5920517709,8.439457722498833,10.968490506596096
2/9/20,1.0,0.0,0.0,99991.73367163324,9.185610548835387,11.080717817925567
2/10/20,1.0,0.0,0.0,99990.80043240848,9.99683440113202,11.202733190390362
2/11/20,1.0,0.0,0.0,99989.78582407051,10.878788071316622,11.335387858170225
2/12/20,1.0,0.0,0.0,99988.68249080952,11.837865383517112,11.479643806952513
2/13/20,1.0,0.0,0.0,99987.482231032,12.88119519406144,11.63657377393218
2/14/20,1.0,0.0,0.0,99986.1759973607,14.016641391477599,11.807361247811794
2/15/20,1.0,0.0,0.0,99984.75389663469,15.2528028964936,11.993300468801523
2/16/20,1.0,0.0,0.0,99983.20518990933,16.5990136620375,12.19579642861914
2/17/20,1.0,0.0,0.0,99981.51829245627,18.06534267323738,12.416364870490026
2/18/20,1.0,0.0,0.0,99979.68077376342,19.66259394742137,12.656632289147169
2/19/20,1.0,0.0,0.0,99977.67935753505,21.402306534117617,12.918335930831155
2/20/20,1.0,0.0,0.0,99975.49992169165,23.29675451505431,13.203323793290185
2/21/20,1.0,0.0,0.0,99973.12749837006,25.358947004159667,13.513554625780058
2/22/20,1.0,0.0,0.0,99970.54627392336,27.602628147561937,13.851097929064181
2/23/20,1.0,0.0,0.0,99967.73947646229,30.042374626528698,14.218148911176923
2/24/20,1.0,0.0,0.0,99964.68226905446,32.6997584907312,14.617972454788037
2/25/20,1.0,0.0,0.0,99961.35340693237,35.59324380141231,15.05334926620654
2/26/20,2.0,0.0,0.0,99957.73353565662,38.739660907951944,15.52680343541805
2/27/20,7.0,0.0,0.0,99953.79954362534,42.159102388134,16.041353986509627
2/28/20,7.0,0.0,0.0,99949.52456207418,45.87492304814642,16.60051487766978
2/29/20,12.0,0.0,0.0,99944.87796507622,49.91373992258113,17.20829500118847
3/1/20,14.0,0.0,0.0,99939.8253695421,54.30543227443407,17.86919818345711
3/2/20,15.0,0.0,0.0,99934.32863521992,59.083141595105204,18.588223184968555
3/3/20,21.0,0.0,0.0,99928.34586469528,64.28327160439846,19.37086370031711
3/4/20,35.0,0.0,0.0,99921.83140339128,69.94548825052186,20.22310835819853
3/5/20,94.0,0.0,0.0,99914.73583956849,76.11271971008736,21.151440721410022
3/6/20,101.0,0.0,0.0,99907.00600432503,82.83115638811095,22.16283928685024
3/7/20,161.0,0.0,0.0,99898.58497159646,90.15025091801263,23.264777485519286
3/8/20,203.0,0.0,0.0,99889.41205815585,98.12271816161643,24.465223682518705
3/9/20,247.0,1.0,0.0,99879.42282361379,106.80453520915039,25.77264117705151
3/10/20,354.0,1.0,0.0,99868.54907041832,116.25494137924647,27.195988202422136
3/11/20,498.0,1.0,1.0,99856.71884385501,126.53643821894077,28.744717926036486
3/12/20,597.0,1.0,1.0,99843.85643204692,137.71478950367333,30.428778449401918
3/13/20,812.0,1.0,1.0,99829.87219308424,149.86775264233208,32.260054273420636
3/14/20,958.0,1.0,2.0,99814.64203664003,163.10276893514225,34.25519442482096
3/15/20,1018.0,1.0,3.0,99798.07589270467,177.4982586265875,36.4258486687411
3/16/20,1096.0,1.0,6.0,99780.07235467363,193.1424783773325,38.78516694903002
3/17/20,1182.0,1.0,7.0,99760.51284027584,210.13852828901247,41.34863143513883
3/18/20,1268.0,1.0,10.0,99739.26159157364,228.60435190423297,44.13405652212075
3/19/20,1412.0,16.0,11.0,99716.16567496279,248.67273620657016,47.161588830631146
3/20/20,1607.0,16.0,16.0,99691.05498117249,270.4913116205705,50.45370720692752
3/21/20,1727.0,16.0,20.0,99663.74222526538,294.2225520117512,54.035222722869506
3/22/20,1897.0,16.0,21.0,99634.02294663747,320.0437746865995,57.93327867591884
3/23/20,2005.0,16.0,25.0,99601.67550901829,348.14714039257336,62.17735058913945
3/24/20,2234.0,16.0,36.0,99566.4611004707,378.7396533181013,66.79924621119736
3/25/20,2448.0,16.0,62.0,99528.12373339105,412.04316109258207,71.8331055163607
3/26/20,2747.0,16.0,77.0,99486.39024450911,448.2943547863851,77.31540070449981
3/27/20,2948.0,16.0,105.0,99440.97029488806,487.7447689108502,83.2849362010871
3/28/20,3326.0,16.0,105.0,99391.55636992451,530.6607814182873,89.78284865719712
3/29/20,3574.0,16.0,110.0,99337.8237793485,577.3236137019776,96.8526069495066
3/30/20,3866.0,16.0,146.0,99279.43065722352,628.0293305961717,104.5400121802943
3/31/20,4239.0,16.0,180.0,99216.01796194646,683.0888403760916,112.89319767744124
4/1/20,4605.0,103.0,239.0,99147.16219444638,742.8647003590781,121.97310519453059
4/2/20,5157.0,103.0,308.0,99072.35804405164,807.7891803270642,131.85277562128582
4/3/20,5568.0,205.0,358.0,98991.13635290338,878.2731509888885,142.59049610772155
4/4/20,5865.0,205.0,373.0,98902.96980757118,954.776499049073,154.25369337973407
4/5/20,6224.0,205.0,401.0,98807.27005011696,1037.8103277018167,166.9196221812054
4/6/20,6524.0,205.0,477.0,98703.387678095,1127.9369566309956,180.67536527400347
4/7/20,6897.0,205.0,591.0,98590.61224455184,1225.7699220101629,195.6178334379822
4/8/20,7527.0,205.0,687.0,98468.17225802646,1331.9739765025479,211.85376547098127
4/9/20,8143.0,205.0,793.0,98335.23518255011,1447.265089261058,229.49972818882628
4/10/20,8434.0,381.0,870.0,98190.90743764638,1572.4104459282773,248.6821164253288
4/11/20,8883.0,381.0,887.0,98034.23439833123,1708.2284486364665,269.5371530322861
4/12/20,9203.0,381.0,899.0,97864.20039511294,1855.5887160075636,292.21088887948144
4/13/20,9648.0,381.0,919.0,97679.72871399212,2015.4120831531834,316.85920285468404
4/14/20,10031.0,381.0,1033.0,97479.68159646171,2188.6706016746184,343.64780186364897
4/15/20,10343.0,381.0,1203.0,97262.86023950703,2376.3875396628373,372.75222083011704
4/16/20,10657.0,550.0,1333.0,97028.00479560568,2579.637381698486,404.3578226958149
4/17/20,11266.0,550.0,1400.0,96773.79437272764,2799.5458288518867,438.65979842045545
4/18/20,11761.0,550.0,1511.0,96498.84703433521,3037.289798683041,475.8631669817372
4/19/20,12295.0,550.0,1540.0,96201.72013946432,3294.0970845916413,516.1827759440241
4/20/20,12647.0,550.0,1580.0,95881.4830555147,3570.6647005725545,559.8522439127221
4/21/20,13007.0,550.0,1765.0,95536.50661897309,3868.3451093042713,607.1482717226294
4/22/20,13517.0,550.0,1937.0,95164.36880682579,4189.257589467065,658.3736037071277
4/23/20,14184.0,550.0,2021.0,94762.67904424164,4535.468984293796,713.8519714645493
4/24/20,14410.0,1005.0,2152.0,94329.0782045719,4908.993701569911,773.9280938581765
4/25/20,14980.0,1005.0,2192.0,93861.2386093503,5311.793713633441,838.9676770162424
4/26/20,15441.0,1005.0,2194.0,93356.86402829304,5745.778557375006,909.3574143319304
4/27/20,15647.0,1005.0,2274.0,92813.6896792988,6212.80533423781,985.5049864633738
4/28/20,16261.0,1005.0,2355.0,92229.48222844867,6714.678710217643,1067.839061333657
4/29/20,16835.0,1005.0,2462.0,91602.03979000628,7253.150915862885,1156.8092941308141
4/30/20,17501.0,1005.0,2586.0,90929.19192641765,7829.921746274496,1252.88632730783
5/1/20,17862.0,1005.0,2653.0,90208.79964831131,8446.638561106029,1356.5617905826398
5/2/20,18408.0,1005.0,2669.0,89438.75541449823,9104.896284563616,1468.3483009381284
5/3/20,18633.0,1005.0,2679.0,88616.98313197185,9806.237405405984,1588.7794626221325
5/4/20,15878.0,4074.0,2769.0,87741.4381559081,10552.151976944435,1718.4098671474385
5/5/20,16288.0,4074.0,2854.0,86810.10728966532,11344.077617042869,1857.8150932917824
5/6/20,16903.0,4074.0,2941.0,85821.00878478435,12183.399508117764,2007.5917070978508
5/7/20,16612.0,4971.0,3040.0,84772.19234098849,13071.450397138186,2168.3572618732815
5/8/20,17119.0,4971.0,3175.0,83661.7799358916,14009.480757800477,2340.739306307917
5/9/20,17730.0,4971.0,3220.0,82489.73700491819,14997.31200560465,2524.9509894771504
5/10/20,18126.0,4971.0,3225.0,81255.20552672005,16035.157866377569,2721.63660690237
5/11/20,18443.0,4971.0,3256.0,79956.80911291452,17123.488248218724,2931.7026388667523
5/12/20,18988.0,4971.0,3313.0,78593.77725308723,18262.230563210614,3155.9921837021348
5/13/20,19478.0,4971.0,3460.0,77165.9453147922,19450.76972741877,3395.2849577890156
5/14/20,20082.0,4971.0,3529.0,75673.7545435517,20687.94816089173,3650.297295556553
5/15/20,20590.0,4971.0,3646.0,74118.25206285637,21972.065787661053,3921.6821494825667
