,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.62688878718,2.3571534674617793,10.015957745351042
1/24/20,0.0,0.0,0.0,99999.18712595513,2.778107825978091,10.034766218903355
1/25/20,0.0,0.0,0.0,99998.66860035073,3.2744561797758953,10.056943469489543
1/26/20,0.0,0.0,0.0,99998.05792626676,3.859011705277595,10.083062027962505
1/27/20,0.0,0.0,0.0,99997.33865705364,4.547517565019186,10.113825381336015
1/28/20,0.0,0.0,0.0,99996.49080174117,5.359109587302543,10.150088671535373
1/29/20,0.0,0.0,0.0,99995.4908250384,6.316316266195416,10.192858695397414
1/30/20,0.0,0.0,0.0,99994.3116473338,7.445058761531437,10.2432939046705
1/31/20,0.0,0.0,0.0,99992.92209321565,8.77517869234952,10.302728092001084
2/1/20,0.0,0.0,0.0,99991.28319456462,10.343976469249245,10.3728289661237
2/2/20,0.0,0.0,0.0,99989.35490208797,12.189788588731185,10.455309323298797
2/3/20,0.0,0.0,0.0,99987.0865933737,14.3610719208273,10.552334705474093
2/4/20,0.0,0.0,0.0,99984.41485814485,16.91852331334746,10.666618541801764
2/5/20,0.0,0.0,0.0,99981.26349825948,19.935079591879443,10.801422148638437
2/6/20,0.0,0.0,0.0,99977.54352771066,23.49591755978893,10.960554729545194
2/7/20,0.0,0.0,0.0,99973.1531726265,27.6984539982195,11.148373375287573
2/8/20,0.0,0.0,0.0,99967.97787127006,32.65234566609265,11.369783063835568
2/9/20,0.0,0.0,0.0,99961.88273484637,38.48670031724337,11.630564836378332
2/10/20,0.0,0.0,0.0,99954.69533995003,45.366543964919174,11.938116085033558
2/11/20,0.0,0.0,0.0,99946.24671154394,53.453633446047114,12.299655010006786
2/12/20,0.0,0.0,0.0,99936.31655231323,62.95883768487816,12.724610001876218
2/13/20,0.0,0.0,0.0,99924.6267718921,74.1483262935605,13.224901814325781
2/14/20,0.0,0.0,0.0,99910.8414868637,87.34356957213956,13.814943564145123
2/15/20,0.0,0.0,0.0,99894.56702076021,102.92133850855791,14.511640731229619
2/16/20,0.0,0.0,0.0,99875.35190406276,121.31370477865546,15.334391158580372
2/17/20,0.0,0.0,0.0,99852.68687420152,143.00804074616923,16.305085052304207
2/18/20,0.0,0.0,0.0,99826.00487555565,168.54701946273354,17.448104981613675
2/19/20,0.0,0.0,0.0,99794.58842530023,198.61694041442541,18.794634285333416
2/20/20,0.0,0.0,0.0,99757.606725444,234.01276975861504,20.380504797379093
2/21/20,0.0,0.0,0.0,99714.17689592083,275.57984731305953,22.243256766103837
2/22/20,0.0,0.0,0.0,99663.14723928225,324.4203359593449,24.432424758394447
2/23/20,0.0,0.0,0.0,99603.09472843811,381.89561535303454,27.00965620884275
2/24/20,0.0,0.0,0.0,99532.32500665657,449.626281923669,30.048711419745587
2/25/20,1.0,0.0,0.0,99448.87238756412,529.4921488747661,33.635463561104864
2/26/20,1.0,0.0,0.0,99350.49985514554,623.632246183821,37.86789867062748
2/27/20,8.0,0.0,0.0,99234.69906374396,734.4448206023064,42.85611565372542
2/28/20,8.0,0.0,0.0,99098.6903380608,864.5873356556716,48.72232628351563
2/29/20,18.0,0.0,0.0,98939.15490508662,1017.2240779086783,55.62101700468946
3/1/20,27.0,0.0,0.0,98752.06649177246,1196.2030271946642,63.7304810328585
3/2/20,42.0,0.0,0.0,98532.78096608917,1405.972950163894,73.24608374692124
3/3/20,54.0,2.0,0.0,98275.69682699384,1651.887476576037,84.41569643011748
3/4/20,87.0,3.0,0.0,97974.25354957554,1940.2066011209747,97.53984930347521
3/5/20,110.0,3.0,1.0,97620.93158505537,2278.0966834188016,112.97173152581068
