,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,2.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,3.0,0.0,0.0,99999.9099489001,2.0900508927273718,10.000000207179083
1/24/20,5.0,0.0,0.0,99999.81584330492,2.1841562713903024,10.000000423686474
1/25/20,7.0,0.0,0.0,99999.71749327173,2.2825060783073052,10.000000649959217
1/26/20,6.0,2.0,0.0,99999.61469578366,2.3853033298804283,10.000000886464443
1/27/20,6.0,2.0,0.0,99999.5072650485,2.4927338178771428,10.000001133629615
1/28/20,9.0,5.0,0.0,99999.39500368996,2.6049949181315077,10.000001391908851
1/29/20,9.0,5.0,0.0,99999.27770119296,2.72229714525154,10.000001661786508
1/30/20,9.0,5.0,0.0,99999.15513390361,2.844864152619217,10.000001943777173
1/31/20,14.0,5.0,0.0,99999.02706502918,2.9729327323904755,10.00000223842568
2/1/20,14.0,5.0,0.0,99998.8932446382,3.106752815495211,10.000002546307094
2/2/20,14.0,5.0,0.0,99998.75340966033,3.2465874716372802,10.000002868026717
2/3/20,14.0,5.0,0.0,99998.6072838865,3.392712909294497,10.000003204220093
2/4/20,20.0,5.0,0.0,99998.45457796873,3.545418475718636,10.000003555552997
2/5/20,20.0,5.0,0.0,99998.29498942035,3.7050066569354323,10.000003922721445
2/6/20,20.0,5.0,0.0,99998.1282026158,3.8717930777445773,10.00000430645169
2/7/20,20.0,5.0,0.0,99997.95388879078,4.046106501719726,10.00000470750022
2/8/20,22.0,10.0,0.0,99997.77170604214,4.22828883120849,10.000005126653763
2/9/20,22.0,10.0,0.0,99997.58129932794,4.418695107332441,10.000005564729282
2/10/20,22.0,10.0,0.0,99997.38230046743,4.6176935099871095,10.000006022573976
2/11/20,23.0,10.0,0.0,99997.17432814109,4.825665357841989,10.000006501065284
2/12/20,23.0,10.0,0.0,99996.95698789055,5.043005108340527,10.000007001110882
2/13/20,21.0,12.0,0.0,99996.72987211865,5.270120357700134,10.000007523648682
2/14/20,21.0,12.0,0.0,99996.49256008943,5.507431840912179,10.000008069646832
2/15/20,21.0,12.0,0.0,99996.24450867577,5.75548268387765,10.000008640355775
2/16/20,20.0,14.0,0.0,99995.98513182678,6.01485893609757,10.00000923712486
2/17/20,20.0,15.0,0.0,99995.71402079499,6.285969344111879,10.00000986089421
2/18/20,20.0,15.0,0.0,99995.43072921764,6.56926026965959,10.000010512690555
2/19/20,20.0,15.0,0.0,99995.13477009274,6.86521871362161,10.000011193634236
2/20/20,20.0,15.0,0.0,99994.82561577903,7.174372316020749,10.000011904939182
2/21/20,18.0,17.0,0.0,99994.50269799605,7.497289356021705,10.000012647912921
2/22/20,18.0,17.0,0.0,99994.16540782411,7.834578751931076,10.000013423956577
2/23/20,14.0,21.0,0.0,99993.81309570423,8.186890061197357,10.000014234564873
2/24/20,14.0,21.0,0.0,99993.44507143825,8.554913480410935,10.000015081326124
2/25/20,15.0,22.0,0.0,99993.06060418877,8.939379845304098,10.000015965922247
2/26/20,18.0,22.0,0.0,99992.65892247911,9.341060630751027,10.000016890128748
2/27/20,18.0,22.0,0.0,99992.23921419341,9.760767950767798,10.000017855814738
2/28/20,13.0,28.0,0.0,99991.80062657654,10.199354558512386,10.000018864942918
2/29/20,14.0,28.0,0.0,99991.34226623415,10.657713846284661,10.00001991956959
3/1/20,13.0,28.0,1.0,99990.86319913263,11.13677984552639,10.00002102184465
3/2/20,11.0,31.0,1.0,99990.36245059916,11.637527226821234,10.000022174011592
3/3/20,11.0,31.0,1.0,99989.83900532169,12.160971299894747,10.000023378407505
3/4/20,11.0,31.0,1.0,99989.29180734891,12.708168013614388,10.000024637463074
3/5/20,15.0,31.0,1.0,99988.7197600903,13.280213955989506,10.000025953702584
3/6/20,16.0,31.0,1.0,99988.12172631608,13.878246354171347,10.000027329743913
3/7/20,18.0,31.0,1.0,99987.49652815724,14.50344307445305,10.000028768298538
3/8/20,18.0,31.0,1.0,99986.84294710556,15.157022622269658,10.000030272171529
3/9/20,18.0,31.0,1.0,99986.15972401353,15.840244142198102,10.000031844261557
3/10/20,19.0,33.0,1.0,99985.44555909447,16.55440741795721,10.000033487560886
3/11/20,24.0,34.0,1.0,99984.69911192243,17.300852872407717,10.00003520515538
