,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.87886705066,2.077017874939296,10.044115074401747
1/24/20,0.0,0.0,0.0,99999.75306956605,2.1570014643674433,10.089928969592338
1/25/20,0.0,0.0,0.0,99999.62242286096,2.2400681847472574,10.137508954285824
1/26/20,0.0,0.0,0.0,99999.48672842832,2.3263442368364773,10.186927334841599
1/27/20,0.0,0.0,0.0,99999.34580254467,2.415946429990351,10.23825102533386
1/28/20,0.0,0.0,0.0,99999.1994529157,2.508997022225091,10.291550062077748
1/29/20,0.0,0.0,0.0,99999.04747671918,2.605624963698586,10.3468983171258
1/30/20,0.0,0.0,0.0,99998.88966060503,2.705965896710399,10.404373498267942
1/31/20,0.0,0.0,0.0,99998.72578069527,2.8101621557017706,10.464057149031486
2/1/20,0.0,0.0,0.0,99998.55560258406,2.9183627672556156,10.526034648681144
2/2/20,0.0,0.0,0.0,99998.37888133769,3.0307234500965237,10.590395212219013
2/3/20,0.0,0.0,0.0,99998.19536149452,3.1474066150907607,10.657231890384585
2/4/20,0.0,0.0,0.0,99998.0047770651,3.26858136524627,10.72664156965474
2/5/20,0.0,0.0,0.0,99997.80685153205,3.394423495712666,10.79872497224375
2/6/20,0.0,0.0,0.0,99997.60129785012,3.525115493781244,10.873586656103283
2/7/20,0.0,0.0,0.0,99997.3878184462,3.6608465388849707,10.95133501492239
2/8/20,0.0,0.0,0.0,99997.16610521928,3.801812502598491,11.032082278127522
2/9/20,0.0,0.0,0.0,99996.93583954049,3.9482159486381216,11.115944510882514
2/10/20,0.0,0.0,0.0,99996.69669225306,4.10026613286186,11.203041614088596
2/11/20,0.0,0.0,0.0,99996.44832367235,4.258179003269374,11.293497324384386
2/12/20,0.0,0.0,0.0,99996.19038358585,4.422177200002013,11.3874392141459
2/13/20,0.0,0.0,0.0,99995.92251125317,4.592490055342795,11.484998691486538
2/14/20,0.0,0.0,0.0,99995.64433540603,4.769353593716417,11.586311000257096
2/15/20,0.0,0.0,0.0,99995.35547006853,4.95301318323974,11.691516748235788
2/16/20,0.0,0.0,0.0,99995.05536204437,5.143820287342993,11.80081766829142
2/17/20,0.0,0.0,0.0,99994.74356990261,5.342055487424387,11.914374609974134
2/18/20,0.0,0.0,0.0,99994.41972519299,5.547953094032512,12.03232171298283
2/19/20,0.0,0.0,0.0,99994.08342948243,5.761766465684008,12.154804051897282
2/20/20,0.0,0.0,0.0,99993.73425435496,5.983768008863565,12.281977636178134
2/21/20,0.0,0.0,0.0,99993.37174141181,6.214249178023923,12.414009410166894
2/22/20,0.0,0.0,0.0,99992.99540227134,6.453520475585874,12.551077253085948
2/23/20,0.0,0.0,0.0,99992.60471856903,6.7019114519382565,12.693369979038547
2/24/20,0.0,0.0,0.0,99992.19914195756,6.959770705437965,12.84108733700881
2/25/20,0.0,0.0,0.0,99991.77809410673,7.227465882409938,12.994440010861728
2/26/20,0.0,0.0,0.0,99991.34096670352,7.50538367714717,13.153649619343161
2/27/20,0.0,0.0,0.0,99990.88712145202,7.7939298319107015,13.318948716079841
2/28/20,0.0,0.0,0.0,99990.4158900735,8.093529136929625,13.490580789579365
2/29/20,0.0,0.0,0.0,99989.92657430637,8.404625430401087,13.668800263230201
3/1/20,0.0,0.0,0.0,99989.41844590622,8.727681598490278,13.85387249530169
3/2/20,0.0,0.0,0.0,99988.89074664573,9.06317957533044,14.04607377894404
3/3/20,0.0,0.0,0.0,99988.34268831479,9.411620343022868,14.245691342188326
