,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.90660889792,2.093390912669394,10.000000189410356
1/24/20,0.0,0.0,0.0,99999.80885695951,2.19114265281442,10.000000387665294
1/25/20,0.0,0.0,0.0,99999.70653161875,2.2934677860476853,10.000000595195969
1/26/20,0.0,0.0,0.0,99999.59940622587,2.4005929616592327,10.00000081246212
1/27/20,0.0,0.0,0.0,99999.48727383105,2.512725129051549,10.00000103988348
1/28/20,0.0,0.0,0.0,99999.36991371037,2.6300850117234034,10.000001277907725
1/29/20,0.0,0.0,0.0,99999.24708975671,2.752908716261604,10.000001527013735
1/30/20,0.0,0.0,0.0,99999.11855047994,2.881447732341,10.000001787711607
1/31/20,0.0,0.0,0.0,99998.98402900672,3.0159689327244807,10.00000206054264
2/1/20,0.0,0.0,0.0,99998.84324308066,3.156754573262974,10.000002346079345
2/2/20,0.0,0.0,0.0,99998.69589506218,3.3041022928954487,10.00000264492544
2/3/20,0.0,0.0,0.0,99998.54167192863,3.458325113648914,10.000002957715852
2/4/20,0.0,0.0,0.0,99998.38024527424,3.6197514406384173,10.000003285116716
2/5/20,0.0,0.0,0.0,99998.2112713101,3.788725062067047,10.000003627825375
2/6/20,0.0,0.0,0.0,99998.0343908642,3.965605149225931,10.000003986570384
2/7/20,0.0,0.0,0.0,99997.84922938139,4.150766256494238,10.000004362111502
2/8/20,0.0,0.0,0.0,99997.65539692341,4.344598321339175,10.0000047552397
2/9/20,0.0,0.0,0.0,99997.4524881689,4.547506664315993,10.000005166777155
2/10/20,0.0,0.0,0.0,99997.24008241335,4.759911989067974,10.000005597577257
2/11/20,0.0,0.0,0.0,99997.01774356914,4.98225038232645,10.000006048524595
2/12/20,0.0,0.0,0.0,99996.78502016555,5.214973313910786,10.000006520534978
2/13/20,0.0,0.0,0.0,99996.5414453487,5.458547636728391,10.000007014555417
2/14/20,0.0,0.0,0.0,99996.28653674688,5.713455721559675,10.000007531564407
2/15/20,0.0,0.0,0.0,99996.0196226086,5.980369318476666,10.00000807292555
