,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.60426156365,2.2834367980449923,10.112301638298725
1/24/20,0.0,0.0,0.0,99999.15243225975,2.607046592824512,10.240521147414512
1/25/20,0.0,0.0,0.0,99998.636320441,2.9766960360180414,10.3869835229807
1/26/20,0.0,0.0,0.0,99998.0472881898,3.3985716268875272,10.554140183299728
1/27/20,0.0,0.0,0.0,99997.37524417549,3.879900728866729,10.744855095640114
1/28/20,0.0,0.0,0.0,99996.60819528038,4.429272509793286,10.962532209816978
1/29/20,0.0,0.0,0.0,99995.73224659989,5.056637941908717,11.21111545819204
1/30/20,0.0,0.0,0.0,99994.73160144246,5.773309801858416,11.495088755673624
1/31/20,0.0,0.0,0.0,99993.58856132958,6.591962670691661,11.819475999716651
2/1/20,0.0,0.0,0.0,99992.28352599581,7.5266329338616025,12.189841070322647
2/2/20,0.0,0.0,0.0,99990.7932663636,8.59395321148863,12.61278042490656
2/3/20,0.0,0.0,0.0,99989.09120482516,9.812954049117382,13.09584112571242
2/4/20,0.0,0.0,0.0,99987.1507854418,11.202656849286953,13.646557708908574
2/5/20,0.0,0.0,0.0,99984.93893474097,12.786747202701317,14.274318056315574
2/6/20,0.0,0.0,0.0,99982.4158261305,14.593743253819563,14.990430615671192
2/7/20,0.0,0.0,0.0,99979.5348798985,16.656995700855894,15.808124400630447
2/8/20,0.0,0.0,0.0,99976.24276321345,19.014687795779626,16.742548990765584
2/9/20,0.0,0.0,0.0,99972.47939012412,21.709835344315195,17.810774531566082
2/10/20,0.0,0.0,0.0,99968.17792155962,24.790286705942137,19.03179173443866
2/11/20,0.0,0.0,0.0,99963.2647653294,28.30872279389513,20.42651187670726
2/12/20,0.0,0.0,0.0,99957.65957612322,32.322657075163924,22.017766801613064
2/13/20,0.0,0.0,0.0,99951.25959682147,36.90556163737743,23.834841541141422
2/14/20,0.0,0.0,0.0,99943.95329261119,42.137253399936256,25.90945398887413
2/15/20,0.0,0.0,0.0,99935.62878568591,48.09790778943933,28.273306524639686
2/16/20,0.0,0.0,0.0,99926.14491741442,54.8885888933507,30.966493692231428
2/17/20,0.0,0.0,0.0,99915.33113338907,62.63133105079295,34.03753556013629
2/18/20,0.0,0.0,0.0,99902.98748342591,71.46913885254722,37.54337772153481
2/19/20,0.0,0.0,0.0,99888.88462156465,81.5659871410532,41.54939129430113
2/20/20,0.0,0.0,0.0,99872.76380606859,93.10682101040919,46.12937292100299
2/21/20,0.0,0.0,0.0,99854.33689942473,106.29755580637199,51.36554476890173
2/22/20,0.0,0.0,0.0,99833.28636834369,121.36507712635704,57.3485545299523
2/23/20,0.0,0.0,0.0,99809.26528375976,138.55724081943822,64.17747542080323
2/24/20,0.0,0.0,0.0,99781.88960416861,158.14815984128194,71.96223599010183
2/25/20,0.0,0.0,0.0,99750.64085448382,180.5056452216839,80.85350029449997
2/26/20,0.0,0.0,0.0,99715.02667936188,205.982753952859,90.99056668525796
2/27/20,0.0,0.0,0.0,99674.47613283111,234.9887128077939,102.535154361085
2/28/20,0.0,0.0,0.0,99628.29159437362,268.0216950417774,115.68671058460095
2/29/20,0.0,0.0,0.0,99575.64876892527,305.66882039240056,130.6824106823363
3/1/20,0.0,0.0,0.0,99515.59668687571,348.60615507955674,147.7971580447322
3/2/20,0.0,0.0,0.0,99447.05770406841,397.5987118054415,167.34358412614046
3/3/20,0.0,0.0,0.0,99368.82750180062,453.5004497545526,189.67204844482362
3/4/20,0.0,0.0,0.0,99279.57508682336,517.2542745936903,215.17063858295472
3/5/20,0.0,0.0,0.0,99177.84279134142,589.8920384719568,244.2651701866177
3/6/20,0.0,0.0,0.0,99062.04627301343,672.5345400207564,277.41918696580694
3/7/20,0.0,0.0,0.0,98930.42215129896,766.4126250020173,315.1652236990207
3/8/20,0.0,0.0,0.0,98780.80619627732,873.0181627860545,358.17564093663265
3/9/20,0.0,0.0,0.0,98610.80618397906,994.0786063123933,407.115209708544
3/10/20,0.0,0.0,0.0,98417.66537282696,1131.558109201886,462.77651797115664
3/11/20,1.0,0.0,0.0,98198.24370904343,1287.661992503627,526.0942984529486
3/12/20,1.0,0.0,0.0,97949.01782665058,1464.8367446949514,598.145428654474
