,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.89841239613,2.071123369566832,10.030464234305464
1/24/20,0.0,0.0,0.0,99999.79321228132,2.1447758925685045,10.062011826118997
1/25/20,0.0,0.0,0.0,99999.684268227,2.2210495802065244,10.094682192797938
1/26/20,0.0,0.0,0.0,99999.57143876563,2.3000434701490735,10.12851776421662
1/27/20,0.0,0.0,0.0,99999.45459224224,2.381849733884617,10.16355802388043
1/28/20,0.0,0.0,0.0,99999.33359177821,2.4665641997344223,10.199844022061507
1/29/20,0.0,0.0,0.0,99999.2082936931,2.5542874573795395,10.23741884953241
1/30/20,0.0,0.0,0.0,99999.07854750459,2.645124857860802,10.276327637566117
1/31/20,0.0,0.0,0.0,99998.94419592849,2.739186513578825,10.316617557936022
2/1/20,0.0,0.0,0.0,99998.8050748788,2.836587298294006,10.358337822915935
2/2/20,0.0,0.0,0.0,99998.6610134676,2.9374468471265267,10.401539685280087
2/3/20,0.0,0.0,0.0,99998.51183400514,3.0418895565563497,10.446276438303128
2/4/20,0.0,0.0,0.0,99998.35735199982,3.1500445844232203,10.492603415760122
2/5/20,0.0,0.0,0.0,99998.19737615815,3.2620458499266682,10.540577991926556
2/6/20,0.0,0.0,0.0,99998.0317083848,3.3780320336260043,10.59025958157833
2/7/20,0.0,0.0,0.0,99997.86014378257,3.4981465774403206,10.641709639991767
2/8/20,0.0,0.0,0.0,99997.68247065242,3.622537684648496,10.694991662943606
2/9/20,0.0,0.0,0.0,99997.4984704934,3.7513583198891873,10.750171186711
2/10/20,0.0,0.0,0.0,99997.30791800277,3.884766209160837,10.807315788071529
2/11/20,0.0,0.0,0.0,99997.11058107587,4.022923839821669,10.86649508430318
2/12/20,0.0,0.0,0.0,99996.90622080622,4.165998460589689,10.927780733184369
2/13/20,0.0,0.0,0.0,99996.69459148547,4.314162081542689,10.991246432993922
2/14/20,0.0,0.0,0.0,99996.47544060338,4.467591474118238,11.056967922511088
2/15/20,0.0,0.0,0.0,99996.24850884787,4.626468171113691,11.12502298101553
2/16/20,0.0,0.0,0.0,99996.0134741486,4.791017585665141,11.195508265741193
2/17/20,0.0,0.0,0.0,99995.76996598719,4.961499007119389,11.268535005693321
2/18/20,0.0,0.0,0.0,99995.51773738167,5.138085371237173,11.3441772470991
2/19/20,0.0,0.0,0.0,99995.2565272068,5.320959513604092,11.422513279588012
2/20/20,0.0,0.0,0.0,99994.98605559887,5.510317382220067,11.503627018912878
2/21/20,0.0,0.0,0.0,99994.70602395556,5.706368037499342,11.587608006949866
2/22/20,0.0,0.0,0.0,99994.41611493603,5.909333652270481,11.674551411698479
2/23/20,0.0,0.0,0.0,99994.11599246094,6.11944951177637,11.764558027281563
2/24/20,0.0,0.0,0.0,99993.80530171237,6.336964013674216,11.857734273945299
2/25/20,0.0,0.0,0.0,99993.4836691339,6.562138668035547,11.954192198059218
2/26/20,0.0,0.0,0.0,99993.15070243053,6.795248097346215,12.054049472116183
2/27/20,0.0,0.0,0.0,99992.80599056876,7.03658003650639,12.157429394732402
2/28/20,0.0,0.0,0.0,99992.44910377653,7.286435332830566,12.26446089064742
2/29/20,0.0,0.0,0.0,99992.07959354323,7.545127946047556,12.375278510724126
3/1/20,0.0,0.0,0.0,99991.69699261975,7.812984948300498,12.490022431948747
3/2/20,0.0,0.0,0.0,99991.30081501842,8.090346524146847,12.60883845743085
3/3/20,0.0,0.0,0.0,99990.89055601304,8.377565970558386,12.731878016403343
3/4/20,0.0,0.0,0.0,99990.46569213885,8.675009696921212,12.859298164222476
3/5/20,0.0,0.0,0.0,99990.0256811926,8.983057225035747,12.991261582367837
3/6/20,0.0,0.0,0.0,99989.56996223245,9.302101189116735,13.127936578442354
