,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.74327297264,2.16448291754033,10.092244109817903
1/24/20,0.0,0.0,0.0,99999.46543323589,2.3424923093825956,10.192074454730175
1/25/20,0.0,0.0,0.0,99999.16464785683,2.5352023886859953,10.300149754488011
1/26/20,0.0,0.0,0.0,99998.83906290372,2.743800865740763,10.417136230545292
1/27/20,0.0,0.0,0.0,99998.48679357879,2.9694952983183764,10.543711122899465
1/28/20,0.0,0.0,0.0,99998.10571059384,3.2136498383503964,10.680639567818329
1/29/20,4.0,0.0,0.0,99997.69343996537,3.4777853630589823,10.828774671573814
1/30/20,4.0,0.0,0.0,99997.2473630146,3.7635794749568934,10.989057510441977
1/31/20,4.0,0.0,0.0,99996.76461636745,4.072866501847487,11.162517130703007
2/1/20,4.0,0.0,0.0,99996.24209195454,4.407637496824722,11.350270548641216
2/2/20,5.0,0.0,0.0,99995.67643701118,4.770040238273154,11.55352275054505
2/3/20,5.0,0.0,0.0,99995.06405407743,5.162379229867938,11.773566692707076
2/4/20,5.0,0.0,0.0,99994.401100998,5.587115700574831,12.011783301424
2/5/20,5.0,0.0,0.0,99993.68349092235,6.046867604650185,12.269641472996646
2/6/20,5.0,0.0,0.0,99992.90689230463,6.544409621640954,12.548698073729977
2/7/20,5.0,0.0,0.0,99992.06669648759,7.082693862118129,12.85060965028732
2/8/20,7.0,0.0,0.0,99991.1567440042,7.665663572213254,13.17759242358999
2/9/20,7.0,0.0,0.0,99990.17164852588,8.29676918603034,13.531582288090405
2/10/20,8.0,0.0,0.0,99989.10614639772,8.979383805845146,13.914469796431353
2/11/20,8.0,0.0,0.0,99987.95412225535,9.71742555319926,14.328452191439027
2/12/20,7.0,1.0,0.0,99986.70860902498,10.515357568900095,14.776033406123025
2/13/20,7.0,1.0,0.0,99985.3617879233,11.3781880130209,15.260024063676346
2/14/20,7.0,1.0,0.0,99983.90498845762,12.311470064900748,15.783541477475392
2/15/20,5.0,3.0,0.0,99982.32868842577,13.321301923144542,16.350009651079976
2/16/20,5.0,4.0,0.0,99980.62251391614,14.414326805623016,16.963159278233306
2/17/20,5.0,4.0,0.0,99978.77523930767,15.597732949472729,17.627027742861998
