,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
3/3/20,104.0,7.0,7.0,2000000.0,5.0,0.0
3/4/20,131.0,7.0,11.0,1999998.4130368996,6.552989733564762,0.033973366782949516
3/5/20,200.0,7.0,12.0,1999996.3334368914,8.588070068793368,0.07849303957955592
3/6/20,246.0,7.0,14.0,1999993.6077410332,11.255414689977355,0.1368442767494395
3/7/20,379.0,7.0,17.0,1999990.034247343,14.75240749795071,0.213345159060023
3/8/20,491.0,7.0,21.0,1999985.3548913707,19.331588240419347,0.31352038885555
3/9/20,559.0,7.0,22.0,1999979.2230307516,25.332178210812806,0.4447910375254007
3/10/20,926.0,8.0,28.0,1999971.178279663,33.204706927688214,0.6170134091948831
3/11/20,1241.0,8.0,36.0,1999960.6326618642,43.52456246639522,0.8427756695702291
3/12/20,1613.0,12.0,42.0,1999946.8261465095,57.035503915608054,1.1383495748024965
3/13/20,2119.0,12.0,50.0,1999928.758505585,74.71634510835716,1.5251493068037336
3/14/20,2657.0,12.0,60.0,1999905.0492807522,97.91798750944758,2.0327317383648813
3/15/20,3450.0,12.0,74.0,1999873.9291058257,128.37191181560706,2.6989823585724295
3/16/20,4544.0,17.0,100.0,1999833.1508138767,168.27716311023184,3.5720230130615027
3/17/20,6286.0,17.0,134.0,1999779.7921690927,220.49340194063535,4.714428966683945
3/18/20,7511.0,105.0,165.0,1999710.0035717615,288.7877963045647,6.208631933928524
3/19/20,13368.0,121.0,259.0,1999618.4191505094,378.4112798777344,8.169569612755303
3/20/20,18777.0,147.0,350.0,1999498.1303588504,496.12438835319637,10.74525279636311
3/21/20,24982.0,176.0,442.0,1999340.5404150388,650.3396660213104,14.119918939926972
3/22/20,32515.0,178.0,587.0,1999134.1863721085,852.2742880274814,18.539339863983383
3/23/20,42898.0,178.0,786.0,1998864.6073577574,1116.0793745146855,24.313267728027203
3/24/20,52566.0,348.0,1011.0,1998511.2979637114,1461.8204552312752,31.881581057377304
3/25/20,64163.0,361.0,1320.0,1998047.2145607336,1915.9604321981312,41.82500706822456
3/26/20,81429.0,681.0,1726.0,1997438.7752986238,2511.3595797086605,54.86512166763188
3/27/20,98824.0,869.0,2269.0,1996642.346427747,3290.7108175685403,71.94275468447162
3/28/20,117970.0,1072.0,2744.0,1995602.1561889574,4308.58817478524,94.2556362574464
3/29/20,134825.0,2665.0,3420.0,1994242.4782226123,5639.08767891485,123.43409847306154
3/30/20,152307.0,5644.0,4196.0,1992459.8369157992,7383.443560132455,161.71952406847853
3/31/20,175781.0,7024.0,5367.0,1990122.9857652632,9670.049395478598,211.9648392582391
4/1/20,198617.0,8474.0,6511.0,1987070.9171256952,12656.391509139336,277.6913651654628
4/2/20,227069.0,9001.0,7938.0,1983090.8155504912,16550.585454761695,363.5989947470546
4/3/20,256831.0,9707.0,9260.0,1977908.4981662664,21620.88262143598,475.6192122977194
4/4/20,283505.0,14652.0,10870.0,1971153.079440638,28229.904028824247,622.016530537713
4/5/20,306979.0,17448.0,12375.0,1962350.9465287086,36840.476860570285,813.5766107212122
4/6/20,332842.0,19581.0,13894.0,1950925.759273064,48015.634464299685,1063.606262636316
4/7/20,359167.0,21763.0,16191.0,1936204.1948244304,62412.270721857705,1388.534453711847
4/8/20,386825.0,23559.0,18270.0,1917268.4182493445,80926.57479290798,1810.0069577476356
4/9/20,417629.0,25410.0,20288.0,1892945.4890434437,104703.60585051498,2355.9051060413535
4/10/20,445699.0,28790.0,22357.0,1861937.1857704336,135006.24290453736,3061.571325029101
4/11/20,471140.0,31270.0,24366.0,1822822.3845236266,173212.77322299825,3969.8422533751636
4/12/20,496239.0,32988.0,26086.0,1774061.3637552613,220812.64264447568,5130.993600262997
4/13/20,509272.0,43482.0,27870.0,1714363.3503445648,279041.97519452637,6599.674460908979
4/14/20,529645.0,47763.0,30262.0,1641846.7040938041,349706.6457993337,8451.650106862302
4/15/20,551818.0,52096.0,32760.0,1555204.8715323256,434032.314516793,10767.813950881799
4/16/20,578434.0,54703.0,34844.0,1454405.4932866213,531975.0151775428,13624.491535836652
4/17/20,604089.0,58545.0,37428.0,1340690.4040803304,642221.155384965,17093.440534706388
4/18/20,627975.0,64840.0,39775.0,1216575.6327342375,762187.5165151843,21241.85075058087
4/19/20,647527.0,70337.0,40945.0,1085263.7316520102,888611.701015151,26129.567332838917
4/20/20,669693.0,72329.0,42686.0,951303.681107861,1016926.697315885,31774.62157625411
4/21/20,691575.0,75204.0,45086.0,819684.2716841765,1142156.3904831705,38164.33783265312
4/22/20,715573.0,77366.0,47412.0,694535.6923990856,1260200.2967433908,45269.01085752364
4/23/20,739243.0,80203.0,49724.0,579128.8331890112,1367834.2564056958,53041.910405293136
4/24/20,754786.0,99079.0,51493.0,475875.28490867105,1462710.4338620007,61419.28122932877
4/25/20,784027.0,100372.0,53755.0,386327.3308243934,1543357.3260743127,70320.34310129429
4/26/20,803916.0,106988.0,54881.0,310639.214388242,1609711.9837322156,79653.80187954265
4/27/20,820554.0,111424.0,56219.0,247682.86594072412,1662981.2986953733,89340.83536390268
4/28/20,838291.0,115936.0,58355.0,196214.4929260754,1704480.6171868625,99309.88988706227
4/29/20,858222.0,120720.0,60967.0,154700.51649670026,1735810.7188716896,109493.76463161015
4/30/20,852481.0,153947.0,62996.0,121461.33751462285,1758709.6552381373,119834.00724723986
5/1/20,874503.0,164015.0,64943.0,95099.41335007793,1774616.3595855976,130289.22706432469
5/2/20,890788.0,175382.0,66369.0,74365.83211411542,1784815.5650448974,140823.6028409874
5/3/20,910206.0,180152.0,67682.0,58106.66975872221,1790493.9869070952,151404.34333418266
5/4/20,924273.0,187180.0,68922.0,45332.393129992815,1792667.205018474,162005.40185153324
5/5/20,943496.0,189791.0,71064.0,35363.20342240363,1792030.759123253,172611.03745434352
5/6/20,965966.0,189910.0,73455.0,27626.128713625738,1789171.4494056578,183207.42188071652
5/7/20,986325.0,195036.0,75662.0,21605.676530811383,1784617.4483764793,193781.87509270935
5/8/20,1007756.0,198993.0,77180.0,16881.140191651975,1778799.6498717165,204324.20993663167
5/9/20,1018221.0,212534.0,78795.0,13198.833673771878,1771977.1538843894,214829.01244183883
5/10/20,1033565.0,216169.0,79526.0,10343.566843507804,1764369.925925035,225291.50723145733
5/11/20,1034466.0,232733.0,80682.0,8122.264601392835,1756175.379531044,235707.3558675632
5/12/20,1056733.0,230287.0,82356.0,6374.281557972139,1747557.752899183,246072.96554284508
5/13/20,1062857.0,243430.0,84119.0,5006.066823469473,1738612.4304273706,256386.50274916016
5/14/20,1085462.0,246414.0,85898.0,3940.903581044299,1729417.6040319975,266646.4923869584
5/15/20,1104547.0,250747.0,87530.0,3109.7169894704466,1720043.6727626093,276851.6102479205
5/16/20,1110690.0,268376.0,88754.0,2453.6372645531424,1710550.605800991,287000.756934456
5/17/20,1124930.0,272265.0,89562.0,1937.0108023624537,1700974.5643372023,297093.42486043525
5/18/20,1134783.0,283178.0,90347.0,1532.5184465959808,1691343.1779578784,307129.3035955258
5/19/20,1147255.0,289392.0,91921.0,1215.439624345128,1681681.4268022154,317108.13357343967
5/20/20,1164102.0,294312.0,93439.0,964.3775036279504,1672010.8956388214,327029.72685755056
5/21/20,1184027.0,298418.0,94702.0,765.4511718068001,1662345.4634276514,336894.08540054184
5/22/20,1154823.0,350135.0,95979.0,608.7390857643209,1652694.9522949166,346701.30861931905
5/23/20,1164286.0,361239.0,97087.0,485.2517663391569,1643068.2347840786,356451.5134495822
5/24/20,1178790.0,366736.0,97720.0,387.1472243017198,1633473.012171792,366144.84060390614
05/25/20,,,,308.9392834689821,1623914.5714906398,375781.4892258911
05/26/20,,,,246.94910477151268,1614396.3473737412,385361.70352148724
05/27/20,,,,197.85746386057207,1604921.4089706086,394885.73356553074
