,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
2/29/20,60.0,7.0,1.0,50000.0,10.0,0.0
3/1/20,66.0,7.0,1.0,49994.11575014018,14.758392880681857,1.1258569791303281
3/2/20,85.0,7.0,6.0,49985.43209849786,21.780320012701736,2.7875814894353805
3/3/20,104.0,7.0,7.0,49972.62557876746,32.13563051894938,5.2387907135917935
3/4/20,131.0,7.0,11.0,49953.731271026125,47.41238663823377,8.856342335637697
3/5/20,200.0,7.0,12.0,49925.856831726174,69.947103083251,14.196065190569952
3/6/20,246.0,7.0,14.0,49884.842640978204,103.09952655970432,22.057832462086537
3/7/20,379.0,7.0,17.0,49824.39361369545,151.9501901068074,33.65619619773598
3/8/20,491.0,7.0,21.0,49735.37876753873,223.85755804629144,50.763674414981
3/9/20,559.0,7.0,22.0,49604.834431471376,329.25249659193423,75.91307193668581
3/10/20,926.0,8.0,28.0,49413.65672982068,483.50340014591853,112.83987003339585
3/11/20,1241.0,8.0,36.0,49133.84765252652,708.9947880102887,167.15755946318131
3/12/20,1613.0,12.0,42.0,48728.00763803255,1035.3991822417217,246.5931797257319
3/13/20,2119.0,12.0,50.0,48142.93509391113,1504.884276918492,362.1806291703717
3/14/20,2657.0,12.0,60.0,47305.41960920987,2174.764260291905,529.8161304982261
3/15/20,3450.0,12.0,74.0,46126.936545779296,3111.9751521496287,771.0883020710762
3/16/20,4544.0,17.0,100.0,44511.17678834605,4385.961221423291,1112.8619902306607
3/17/20,6286.0,17.0,134.0,42339.74872348647,6078.811859167785,1591.4394173457522
3/18/20,7511.0,105.0,165.0,39520.0104771804,8241.481832921447,2248.5076898981556
3/19/20,13368.0,121.0,259.0,36054.25915071464,10832.209075081315,3123.531774204059
3/20/20,18777.0,147.0,350.0,32031.299653116093,13725.398423428825,4253.301923455079
3/21/20,24982.0,176.0,442.0,27657.22018046544,16696.604799156637,5656.175020377921
3/22/20,32515.0,178.0,587.0,23249.192048874844,19439.745775020103,7321.062176105054
3/23/20,42898.0,178.0,786.0,19073.98896415883,21717.723074847236,9218.287960993934
3/24/20,52566.0,348.0,1011.0,15338.174014354638,23371.628824533138,11300.197161112217
3/25/20,64163.0,361.0,1320.0,12184.668917503359,24323.401334306545,13501.929748190092
3/26/20,81429.0,681.0,1726.0,9628.233040827388,24623.125464686094,15758.641494486514
3/27/20,98824.0,869.0,2269.0,7594.183103559722,24396.68842071312,18019.128475727153
3/28/20,117970.0,1072.0,2744.0,6006.325975319569,23762.902749654826,20240.771275025603
3/29/20,134825.0,2665.0,3420.0,4790.413761994139,22830.255279546647,22389.330958459213
3/30/20,152307.0,5644.0,4196.0,3869.458354480185,21702.575205155554,24437.96644036426
3/31/20,175781.0,7024.0,5367.0,3161.439881338677,20472.18932648963,26376.370792171692
4/1/20,198617.0,8474.0,6511.0,2603.3134977016534,19203.63835597652,28203.048146321828
4/2/20,227069.0,9001.0,7938.0,2154.024836331224,17939.41162147645,29916.56354219232
4/3/20,256831.0,9707.0,9260.0,1794.4994754092259,16699.976857756086,31515.52366683469
4/4/20,283505.0,14652.0,10870.0,1526.1287532989584,15485.158502956388,32998.71274374465
4/5/20,306979.0,17448.0,12375.0,1322.0390552900096,14317.700175534432,34370.260769175555
4/6/20,332842.0,19581.0,13894.0,1158.0186693806947,13214.666254921443,35637.31507569786
4/7/20,359167.0,21763.0,16191.0,1024.9473885126847,12178.909374266075,36806.14323722124
4/8/20,386825.0,23559.0,18270.0,915.7185538123481,11211.383665880036,37882.89778030761
4/9/20,417629.0,25410.0,20288.0,825.2390545907513,10311.144761238094,38873.61618417115
4/10/20,445699.0,28790.0,22357.0,750.0585601207968,9475.593332851467,39784.348107027734
4/11/20,471140.0,31270.0,24366.0,686.5505995934966,8702.051194084832,40621.39820632167
4/12/20,496239.0,32988.0,26086.0,632.9492822712796,7987.005073654814,41390.0456440739
4/13/20,509272.0,43482.0,27870.0,587.8558306168309,7326.898410724885,42095.24575865828
4/14/20,529645.0,47763.0,30262.0,549.9581401703851,6718.293001767928,42741.748858061685
4/15/20,551818.0,52096.0,32760.0,518.0307795497253,6157.869000566225,43334.10021988404
4/16/20,578434.0,54703.0,34844.0,490.9349904501839,5642.42491821146,43876.64009133835
4/17/20,604089.0,58545.0,37428.0,467.6186876446426,5168.877623104721,44373.503689250625
4/18/20,627975.0,64840.0,39775.0,447.1164589835316,4734.262340956495,44828.62120005996
4/19/20,647527.0,70337.0,40945.0,428.54956539483067,4335.7326547866805,45245.71777981847
4/20/20,669693.0,72329.0,42686.0,411.68439453792587,3970.0049989749946,45628.31060648708
4/21/20,691575.0,75204.0,45086.0,396.740728381278,3634.1751003795316,45979.08417123919
4/22/20,715573.0,77366.0,47412.0,383.54535236934817,3326.161441790696,46300.29320583995
4/23/20,739243.0,80203.0,49724.0,371.92666672670066,3043.95204895772,46594.12128431558
4/24/20,754786.0,99079.0,51493.0,361.7147853221867,2785.604357483906,46862.680857193904
4/25/20,784027.0,100372.0,53755.0,352.74153566894364,2549.245212826623,47108.01325150443
4/26/20,803916.0,106988.0,54881.0,344.8404589243958,2333.0708702973125,47332.08867077829
4/27/20,820554.0,111424.0,56219.0,337.8468098902539,2135.346995061482,47536.806195048266
4/28/20,838291.0,115936.0,58355.0,331.59755701251504,1954.4086621387091,47723.993780848774
